# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-concern		n. 担忧；关切	a serious concern	Safety is our main concern.	Cost remains a serious concern.
b2-significant		adj. 重要的；显著的	a significant change	The report shows a significant change.	This was a significant achievement.
b2-principle		n. 原则	a basic principle	This principle is important.	We must follow the principle.
b2-demand		n. 需求；要求	high demand	Demand for clean energy is growing.	The demand is too high.
b2-labour		n. 劳动；劳动力	hard labour	The job requires hard physical labour.	Labour is a major cost.
b2-stock		n. 股票；存货	in stock	The book is currently in stock.	She bought stock in the company.
b2-association		n. 协会；联系	a national association	The national association supports local groups.	There is a clear association between the two facts.
b2-income		n. 收入	the income	The job provides an income.	The income is enough for the family.
b2-beyond		prep. 超出；在……之外	beyond our control	The problem is beyond our control.	The village lies beyond the river.
b2-fund		n. 基金；资金	a research fund	The university created a research fund.	The fund supports young students.
b2-cell		n. 细胞；小单元	a human cell	Each human cell contains important information.	A cell can store information.
b2-whom		pron. 谁；什么人	to whom	I know whom you mean.	She asked whom I wanted to see.
b2-county		n. 县；郡	the whole county	The new road crosses the whole county.	The county has several small towns.
b2-defence		n. 防御；辩护	national defence	The country needs a strong defence.	The lawyer prepared a strong defence.
b2-obtain		v. 获得；取得	obtain permission	You must obtain permission first.	The information is difficult to obtain.
b2-investment		n. 投资	a good investment	The new machine was a good investment.	Foreign investment created new jobs.
b2-maintain		v. 维持；保养	maintain quality	We must maintain a high level of quality.	The machine is easy to maintain.
b2-prime		adj. 主要的；首要的	a prime example	This is a prime example of good design.	Safety is our prime concern.
b2-aspect		n. 方面	an important aspect	Cost is one important aspect of the plan.	We examined every aspect of the problem.
b2-executive		n. 高管；行政人员	the executive	The executive has an important role.	The executive joined the company last year.
b2-industrial		adj. 工业的	industrial growth	This is an industrial area.	This area has many industrial buildings.
b2-chairman		n. 主席	the committee chairman	The chairman has the final decision.	The chairman explained the decision.
b2-entire		adj. 整个的	the entire report	I read the entire report.	The entire team agreed with the plan.
b2-institution		n. 机构；制度	a public institution	The museum is an important public institution.	This institution serves the whole region.
b2-appropriate		adj. 合适的；恰当的	an appropriate response	That was an appropriate response.	Wear appropriate clothes for the weather.
b2-assume		v. 假定；承担	assume responsibility	We should not assume that he agrees.	She agreed to assume responsibility.
b2-procedure		n. 程序；手续	follow the procedure	Please follow the correct procedure.	The procedure takes about an hour.
b2-commission		n. 委员会；佣金	an independent commission	An independent commission will examine the case.	The agent receives a commission on each sale.
b2-trial		n. 审判；试验	a medical trial	The new drug is in a medical trial.	The trial will continue tomorrow.
b2-proposal		n. 提议；方案	accept a proposal	The committee accepted her proposal.	We discussed the proposal in detail.
b2-circumstance		n. 情况；环境	under the circumstance	This circumstance can change the decision.	The decision depends on each circumstance.
b2-sector		n. 行业；部门	the public sector	She works in the public sector.	The technology sector is growing fast.
b2-reveal		v. 揭示；透露	reveal the truth	The report may reveal the truth.	He refused to reveal his name.
b2-affair		n. 事情；事务	public affairs	This is a private affair.	The affair is private.
b2-appeal		n. 呼吁；吸引力	make an appeal	The plan has appeal.	The idea has strong appeal for young people.
b2-regard		n. 尊重；关注	with regard to	With regard to cost, the second plan is better.	She is held in high regard.
b2-pupil		n. 学生	a school pupil	Each pupil received a new book.	The pupil asked a good question.
b2-operate		v. 操作；运转	operate a machine	We can operate the machine.	The system can operate without help.
b2-majority		n. 大多数	a clear majority	The majority agree with the plan.	A majority can make the decision.
b2-extent		n. 程度；范围	to some extent	I agree with you to some extent.	We do not know the full extent of the damage.
b2-enable		v. 使能够	enable people to work	The new system can enable people to work from home.	Education can enable change.
b2-parliament		n. 议会；国会	the national parliament	Parliament will discuss the law.	Parliament will discuss the issue tomorrow.
b2-tough		adj. 艰难的；坚强的	a tough decision	It was a tough decision.	The exam was tough.
b2-facility		n. 设施；场所	sports facilities	The city needs a new facility.	This facility can serve many people.
b2-extend		v. 延长；扩展	extend the period	They agreed to extend the period.	The road will extend to the coast.
b2-cancer		n. 癌症	cancer treatment	Early cancer treatment can save lives.	The study focuses on cancer.
b2-violence		n. 暴力	prevent violence	The new policy aims to prevent violence.	Violence can hurt people.
b2-arise		v. 出现；产生	problems arise	Problems may arise during the work.	A new question can arise at any time.
b2-species		n. 物种	a rare species	This bird is a rare species.	Many species are in danger.
b2-civil		adj. 公民的；民事的	civil law	The case is a matter of civil law.	They began a civil campaign for change.
b2-shot		n. 射击；尝试	a final shot	He took a final shot at the goal.	The doctor gave me a shot.
b2-budget		n. 预算	the budget	We have a small budget.	The government announced a new budget.
b2-threat		n. 威胁	a serious threat	Climate change is a serious threat.	The message contained a threat.
b2-district		n. 地区；区域	a business district	She works in the business district.	The district has several schools.
b2-requirement		n. 要求；必要条件	meet a requirement	The plan meets every requirement.	Experience is a basic requirement for the job.
b2-debate		n. 辩论；讨论	a public debate	We have a debate today.	The debate continued for two hours.
b2-citizen		n. 公民；市民	a responsible citizen	Every citizen has rights and duties.	The citizen asked the government for help.
b2-opposition		n. 反对；反对派	strong opposition	There is opposition to the plan.	The opposition can change the result.
b2-senior		adj. 高级的；年长的	a senior manager	She is a senior manager.	He has a senior position.
b2-mission		n. 任务；使命	a difficult mission	Our mission is to help local people.	The mission can begin today.
b2-aid		n. 援助；帮助	medical aid	The country sent medical aid.	This device is a useful teaching aid.
b2-concept		n. 概念；观念	a difficult concept	The teacher explained the difficult concept.	This concept is central to the theory.
b2-participant		n. 参与者；参加者	each participant	Each participant received a form.	The participant asked several questions.
b2-gain		n. 收获；增长	a gain in speed	This change can produce a gain.	There was a small gain in income.
b2-fully		adv. 完全地；充分地	fully understand	I fully understand the problem.	The system is fully ready.
b2-critical		adj. 关键的；批评性的	a critical decision	This is a critical decision.	The report was critical of the policy.
b2-recall		n. 回忆；召回	a product recall	The company announced a product recall.	I have little recall of the event.
b2-stare		v. 盯着看	stare at the screen	Do not stare at the screen for too long.	People often stare when they are surprised.
b2-otherwise		adv. 否则；在其他方面	otherwise be late	We must leave now; otherwise, we will be late.	The plan is expensive but otherwise good.
b2-status		n. 状态；地位	current status	The report shows the current status of the project.	The status remains the same.
b2-strike		n. 罢工；打击	go on strike	The workers decided to go on strike.	The strike can continue.
b2-failure		n. 失败；故障	a system failure	Failure can teach us.	The failure was serious.
b2-freedom		n. 自由	freedom of speech	The law protects freedom of speech.	Children need some freedom to choose.
b2-adopt		v. 采用；收养	adopt a policy	The company decided to adopt a new policy.	They hope to adopt a child.
b2-trust		n. 信任	build trust	Open communication helps build trust.	Trust is hard to build.
b2-conduct		n. 行为；举止	professional conduct	The rules cover professional conduct.	Good conduct is expected.
b2-investigation		n. 调查	an official investigation	The police began an official investigation.	The investigation found several problems.
b2-conflict		n. 冲突；矛盾	avoid conflict	Both sides want to avoid conflict.	The conflict continued for years.
