# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-frozen		adj. 冷冻的；结冰的	frozen food	We bought some frozen food.	The lake is completely frozen.
b1-click		n. 咔哒声；点击	hear a click	I heard a click at the door.	Open the file with one click.
b1-brave		adj. 勇敢的	a brave decision	That was a brave decision.	The brave child asked for help.
b1-backwards		adv. 向后	walk backwards	Be careful when you walk backwards.	The car can move backwards.
b1-lonely		adj. 孤独的	feel lonely	He felt lonely in the new city.	Living alone does not always mean being lonely.
b1-diagram		n. 图表；示意图	a simple diagram	The book includes a simple diagram.	Use the diagram to understand the system.
b1-fancy		v. 想要；喜欢	fancy a drink	Do you fancy a drink?	I do not fancy going out tonight.
b1-punish		v. 惩罚	punish a child	The law can punish people.	The law can punish this behaviour.
b1-happiness		n. 幸福；快乐	bring happiness	Friendship can bring happiness.	Money does not always create happiness.
b1-statue		n. 雕像	a stone statue	A stone statue stands in the square.	The statue represents a famous leader.
b1-destination		n. 目的地	reach the destination	We reached our destination before dark.	The island is a popular holiday destination.
b1-update		v. 更新	update the information	Please update your contact information.	Please update the information.
b1-fascinating		adj. 迷人的；极有趣的	a fascinating story	She told us a fascinating story.	The history of the city is fascinating.
b1-diamond		n. 钻石	a diamond ring	She wore a diamond ring.	The diamond was extremely valuable.
b1-neighbourhood		n. 街区；社区	a quiet neighbourhood	They live in a quiet neighbourhood.	The whole neighbourhood joined the celebration.
