# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
ogden-stamp		n. 邮票；印章	a stamp	This is a stamp.	I have a stamp.
ogden-cart		n. 手推车；运货车	a cart	This is a cart.	I have a cart.
ogden-stiff		adj. 僵硬的；坚硬的	is stiff	It is stiff.	This is stiff.
ogden-crush		n. 挤压；拥挤	a crush	This is a crush.	I have a crush.
ogden-smash		n. 猛击；撞击	a smash	This is a smash.	I have a smash.
ogden-cruel		adj. 残忍的	a cruel person	He is a cruel person.	She is a cruel person.
ogden-harmony		n. 和谐；协调	a harmony	This is a harmony.	I have a harmony.
ogden-screw		n. 螺丝	a screw	This is a screw.	I have a screw.
ogden-bulb		n. 灯泡；球茎	a bulb	This is a bulb.	I have a bulb.
ogden-amusement		n. 娱乐活动；消遣	an amusement	This is an amusement.	I have an amusement.
ogden-porter		n. 搬运工；门房	a porter	This is a porter.	I have a porter.
ogden-paste		n. 糊状物；糨糊	a paste	This is a paste.	I have a paste.
ogden-fowl		n. 家禽	a fowl	This is a fowl.	I have a fowl.
a1-just		adj. 公平的；公正的	is just	It is just.	This is just.
a1-cost		n. 成本；代价	the cost	This is the cost.	I know the cost.
a1-sorry		adj. 抱歉的；难过的	am sorry	I am sorry.	You are sorry.
a2-realize		v. 意识到；明白	realize this	I realize this.	You realize it.
a2-task		n. 任务	a task	This is a task.	I have a task.
a2-hall		n. 大厅；门厅	a hall	This is a hall.	I have a hall.
a2-option		n. 选项；选择	an option	This is an option.	I have an option.
a2-background		n. 背景	a blue background	The background is blue.	I can see the background.
a2-quantity		n. 数量；量	a small quantity	The quantity is small.	We need a large quantity.
a2-prize		n. 奖品；奖赏	a prize	This is a prize.	I have a prize.
a2-lecture		n. 讲座；演讲	a lecture	This is a lecture.	I have a lecture.
b1-claim		n. 说法；主张；索赔	make a claim	This claim may be true.	The claim may be true.
b1-studio		n. 工作室；演播室	a film studio	The film is from a small studio.	She works in a television studio.
b1-entry		n. 报名；参赛作品；条目	an entry form	Please complete the entry form.	Her entry won first prize.
b2-slight		n. 怠慢；轻视	take it as a slight	I took his silence as a slight.	She took the comment as a slight.
b2-guarantee		n. 保修；保证	a money-back guarantee	The product has a guarantee.	There is no guarantee of success.
b2-float		n. 浮标；漂浮物；彩车	float	The float is on the water.	A float can mark the line.
