# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-rid		v. 摆脱；除去	get rid of waste	We need to get rid of the waste.	She finally rid the room of smoke.
b2-shelter		n. 避难所；庇护	a safe shelter	The building provided a safe shelter.	They found shelter from the storm.
b2-steady		adj. 稳定的；平稳的	steady growth	The company has achieved steady growth.	Keep your hand steady.
b2-desperate		adj. 绝望的；不顾一切的	a desperate situation	They were in a desperate situation.	The situation is desperate.
b2-delighted		adj. 高兴的；欣喜的	delighted with the result	We are delighted with the result.	She was delighted to receive the news.
b2-psychology		n. 心理学	study psychology	She plans to study psychology.	The book explains basic psychology.
b2-commonly		adv. 通常；普遍地	commonly used	This word is commonly used.	The condition is commonly found in children.
b2-convinced		adj. 确信的	convinced that	I am convinced that the plan will work.	She was not convinced by his explanation.
b2-pile		n. 堆；叠	a pile of books	A pile of books lay on the table.	He added the paper to the pile.
b2-psychologist		n. 心理学家	the psychologist	She is a psychologist.	The psychologist spoke with the patient.
b2-wealthy		adj. 富有的	a wealthy family	He is a wealthy man.	The area attracts wealthy visitors.
b2-govern		v. 统治；管理	govern the country	The elected party will govern the country.	Clear rules govern the use of the system.
b2-impress		v. 给……留下深刻印象	impress the audience	The design can impress people.	The design will impress visitors.
b2-heel		n. 脚后跟；鞋跟	hurt my heel	I hurt my heel while running.	The heel of the shoe is broken.
b2-privacy		n. 隐私	protect privacy	The law protects personal privacy.	Everyone needs some privacy.
b2-contest		n. 比赛；竞赛	win a contest	She won a writing contest.	The contest attracted many students.
b2-sympathy		n. 同情	show sympathy	We should show sympathy for the family.	They showed sympathy for him.
b2-strict		adj. 严格的；严厉的	strict rules	The school has strict rules.	The judge was strict but fair.
b2-collapse		n. 倒塌；崩溃	the collapse of the bridge	The collapse was sudden.	The building was close to collapse.
b2-outer		adj. 外部的；外层的	the outer layer	Remove the outer layer first.	That is the outer part.
b2-organ		n. 器官；风琴	a vital organ	The heart is a vital organ.	The church has a large organ.
b2-flexible		adj. 灵活的；可弯曲的	a flexible plan	We need a flexible plan.	This material is strong and flexible.
b2-disc		n. 圆盘；光盘	the disc	The data is on this disc.	The machine contains a metal disc.
b2-float		n. 漂浮物；彩车	float	The float is on the water.	A float can mark the line.
b2-offensive		adj. 冒犯性的；令人不快的	offensive language	Do not use offensive language.	Many people found the remark offensive.
b2-excuse		v. 原谅；准许离开	excuse the mistake	I can excuse one small mistake.	Please excuse the mistake.
b2-cancel		v. 取消	cancel the meeting	We must cancel the meeting.	The airline may cancel the flight.
b2-harm		n. 伤害；危害	cause harm	The chemical can cause serious harm.	This can cause harm.
b2-wherever		adv. 无论哪里	wherever you go	I will support you wherever you go.	You can work wherever you want.
b2-mineral		n. 矿物	a valuable mineral	The rock contains a valuable mineral.	This mineral is valuable.
b2-swear		v. 发誓；咒骂	swear to tell the truth	I swear to tell the truth.	Do not swear in public.
b2-modify		v. 修改；调整	modify the design	We need to modify the design.	The software allows users to modify the settings.
b2-lung		n. 肺	lung disease	Smoking can cause lung disease.	Each lung is important.
b2-artistic		adj. 艺术的；有艺术性的	artistic talent	She has great artistic talent.	The building has strong artistic value.
b2-hesitate		v. 犹豫	hesitate to ask	Do not hesitate to ask for help.	Please do not hesitate to ask.
b2-courage		n. 勇气	show courage	She showed great courage.	It takes courage to admit a mistake.
b2-unexpected		adj. 出乎意料的	an unexpected result	The result is unexpected.	We received an unexpected visitor.
b2-decrease		n. 减少；下降	a decrease in cost	There was a decrease in cost.	The report shows a decrease in demand.
b2-anniversary		n. 周年纪念日	a wedding anniversary	They celebrated their wedding anniversary.	The anniversary is in June.
b2-illustration		n. 插图；例证	an illustration of the idea	The book includes an illustration of the idea.	This case is a good illustration of the problem.
b2-interrupt		v. 打断；中断	interrupt the speaker	Please do not interrupt the speaker.	Do not interrupt the speaker.
b2-delight		n. 喜悦；乐事	a great delight	The news was a great delight.	The garden is a delight in spring.
b2-forgive		v. 原谅	forgive a mistake	I can forgive the mistake.	She found it difficult to forgive him.
b2-evil		n. 邪恶；恶行	fight evil	The story is about the fight between good and evil.	He believed the act was evil.
b2-beg		v. 乞求；恳求	beg for help	People may beg for help.	I beg you to listen.
b2-sponsor		n. 赞助者；主办方	a main sponsor	The company is the main sponsor of the event.	Each sponsor receives public thanks.
b2-ethical		adj. 道德的；合乎伦理的	an ethical decision	We must make an ethical decision.	The plan is ethical.
b2-melt		n. 融化；熔化物	a rapid melt	The spring melt is early this year.	The spring melt begins in March.
b2-artificial		adj. 人造的；虚假的	artificial light	This light is artificial.	The flowers look artificial.
b2-flash		n. 闪光；短暂显现	a flash of light	A flash of light filled the room.	The flash was very bright.
b2-nightmare		n. 噩梦；可怕经历	have a nightmare	The dream was a nightmare.	The journey was a nightmare.
b2-wildlife		n. 野生动植物	protect wildlife	The park protects local wildlife.	Wildlife needs protection.
b2-broadcast		n. 广播节目；播出	a live broadcast	The broadcast is live.	The broadcast reached millions of people.
b2-realistic		adj. 现实的；逼真的	a realistic plan	We need a realistic plan.	The target is realistic.
b2-tune		n. 曲调；旋律	a familiar tune	I know this tune.	I cannot get the tune out of my head.
