# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-remote		adj. 偏远的；遥远的	a remote village	They live in a remote village.	This is a remote place.
b1-qualify		v. 取得资格；符合条件	qualify for the final	I can qualify for the final.	Experience may qualify you for the job.
b1-princess		n. 公主	a young princess	The story is about a young princess.	The princess is here.
b1-stranger		n. 陌生人	talk to a stranger	Do not give personal information to a stranger.	A stranger asked me for directions.
b1-summary		n. 摘要；总结	a short summary	The report begins with a short summary.	Please write a summary of the story.
b1-related		adj. 相关的	related to health	The problem is related to stress.	The two ideas are related.
b1-translate		v. 翻译	translate the text	Can you translate this text?	We can translate this.
b1-dirt		n. 污垢；泥土	dirt	There is dirt on his shoes.	Wash the dirt from your hands.
b1-leisure		n. 闲暇	leisure time	I read during my leisure time.	The town offers many leisure activities.
b1-import		n. 进口商品；进口	a major import	Oil is a major import for the country.	This import is expensive.
b1-poetry		n. 诗歌	read poetry	She enjoys reading poetry.	The course introduces modern poetry.
b1-innocent		adj. 无辜的；天真的	an innocent person	The court found him innocent.	The child asked an innocent question.
b1-gentle		adj. 温柔的；轻柔的	a gentle voice	She spoke in a gentle voice.	Use a gentle movement.
b1-favour		n. 帮忙；赞同	ask a favour	Can I ask you a favour?	The decision was in our favour.
b1-silly		adj. 愚蠢的；可笑的	a silly mistake	This is a silly mistake.	Do not ask such a silly question.
b1-rugby		n. 橄榄球	play rugby	They play rugby every Saturday.	Rugby is popular at the school.
