# schema=1
authoring_method	direct-llm-correction
a2-data	b8401dde8c26a874	这些数据很重要。
a2-nature	1b1a5820b4b0682b	我热爱大自然。
a2-officer	186bfd4dd9144917	他是一名军官。
a2-contain	879a22a305576c4b	这个盒子能装下它。
a2-movement	20638e478bc438a0	我能看到有东西在动。
a2-recent	47f82ed753099de1	这是最近的新闻。
a2-reduce	9e290bba0002f909	我们可以减少数量。
a2-technology	6d50a547a2b34e44	科技能够改变我们的生活。
a2-catch	165db854cad5d65b	我能接住球。
a2-wish	11297049c582a945	我有一个愿望。
a2-award	7d2979246b8323c9	她获得了一个奖项。
a2-achieve	4374da405400f948	我可以取得成功。
a2-source	9413955667bd8a1f	这本书是很好的资料来源。
a2-nearly	e451ffdb476eb365	它们几乎一样。
a2-billion	18b0a1d25e8358b2	十亿是一个很大的数字。
a2-king	d3aaf6ab11eb271a	他是国王。
a2-energy	d9a73c3e957efd63	我需要更多精力。
a2-foreign	1eb32fae924bd66c	这是一部外国电影。
a2-choice	aa964f2e9e5b305e	你可以作出选择。
a2-used	7e16f06de48676e7	这是一辆二手车。
a2-clearly	3adb67f66291fd0a	我能清楚地看见它。
a2-benefit	a3a1dee865cdc0d3	这个计划有一个好处。
a2-argue	65b04e44ff4dd79e	他们为钱争论。
a2-pattern	629b2d4d5a6869ee	我能看出一种规律。
a2-goal	274c0f2d2a4ed93e	这是我们的目标。
a2-focus	ea6111077293b1af	重点是健康。
a2-series	360cfa1faf68d276	这是一套系列丛书。
a2-environment	3406184228cb1762	我们需要清洁的环境。
a2-enter	c0ef1db85df8a11c	我可以进入房间。
a2-race	3c69751f695ad2cd	这是一场比赛。
a2-response	2b0a324ebf22fd54	这是我的回答。
a2-refer	2a4e9bd4a41a3094	我提到了这份报告。
a2-individual	27808a1926c659ea	每个人都不一样。
a2-feature	03f2de7cd0bf9c68	这是一个重要功能。
a2-exactly	bf4040abea29fdfa	它们完全一样。
a2-following	fcc82585df8afde0	请读下面这个句子。
a2-manage	662b3fe2582e916f	我可以管理这个团队。
a2-lady	8777ef3fcc0155d6	她是一位女士。
a2-character	ea83e9c4492100f3	他性格坚强。
a2-user	43ea1305a3fde002	这位用户在线。
a2-lawyer	410dd0bbf2853676	她是一名律师。
a2-professor	ab5f09376eab9522	他是一名教授。
a2-publish	b17dd86ff23a7fdb	他们出版这份报纸。
a2-express	b112ddde25893b62	这是一列特快列车。
a2-suppose	05b9aa5a2a6419e0	我想你是对的。
a2-suddenly	2656fa8174efbfae	门突然开了。
a2-remove	79338d0eb3b03fd7	请把这个拿走。
a2-united	06224ae23795f564	这个团队很团结。
a2-exist	10e1b66530c398dd	许多问题确实存在。
a2-mention	19179bee7c34083d	我可以提到这件事。
a2-huge	af61298b6a2cad27	这栋建筑非常大。
a2-successful	f0df648780a61367	这个项目很成功。
a2-original	63e21db875aba1a8	这是最初的计划。
a2-traditional	e4def18484b1c6e9	这是传统音乐。
a2-employee	988afef28653e403	他是一名员工。
a2-refuse	ff700cd32d7a4f77	我可以拒绝这个提议。
a2-prevent	96c6b9ddb608bd91	这样可以防止问题发生。
a2-professional	b29153ba9fc600b7	她是一名专业人士。
a2-perform	ff3ec564c24df619	他们在舞台上表演。
a2-direct	f8437ecc315adefd	这是一个直接的回答。
a2-worry	db6458ab6902d22f	钱是一个令人担心的问题。
a2-immediately	b29a16a5077a5a4e	我马上就去。
a2-variety	9dd8b289c08bc2b5	我们有各种各样的食物。
a2-depend	cbd67afcb08ba3f5	这可能取决于天气。
a2-speaker	1281fbc398649bf1	她是演讲者。
a2-soldier	48111a08cb38f5bf	他是一名军人。
a2-ah	99a3c28a467f26ce	啊，我明白了。
a2-independent	f3050d60ab2af521	她很独立。
a2-survey	74d3581e61bbcccf	我们做了一项调查。
a2-context	de1aba6d2364f03a	这个词在这里有不同的含义。
a2-coach	3fc1ca634488232b	他是教练。
a2-notice	6a13f04050044ff9	我读了这则通知。
a2-beat	f93ca2c2f6083063	我能听到节拍。
a2-fit	2088398f285b31b0	这件衬衫很合身。
a2-audience	948400e3291f8e1c	观众很安静。
a2-arrangement	6a5532270adf656d	这个安排很合适。
a2-attend	2a412336e8d8aace	我可以参加会议。
a2-speech	342234f46f8e5710	他发表了演讲。
a2-fresh	618431ed18dfb60e	食物很新鲜。
a2-equipment	3d20c27f948253f9	这些设备是新的。
a2-review	5db2f2e59a87fd29	我读了这篇评论。
a2-expression	8d3560164621e1e1	我知道这个表达。
a2-hurt	46743d4a363e70b8	我弄伤了手。
a2-sale	600855a6cd764504	这家商店正在促销。
a2-track	713c63a2d68f0205	这是一条铁轨。
a2-completely	ba6da161283e7830	它们完全不同。
a2-researcher	efcb0ee31e48ea04	她是一名研究人员。
a2-camp	29210b939ccfddd5	这是一处营地。
a2-normally	54a25a293ba3a529	我通常坐公交车去。
a2-queen	277bde0b4e485cd8	她是王后。
a2-employ	e5b94476ff0f4251	他们雇用了很多人。
a2-tradition	10aac53492ef1f0b	这是一项古老的传统。
a2-speed	6e0aeffbab28dc99	速度太快了。
a2-screen	37436e615a6e055a	这是一块屏幕。
a2-understanding	485f3b90ee3f9e31	我们彼此很了解。
a2-progress	cceb01821015f41e	我们正在取得进展。
a2-crowd	a8a149efa7a3467b	人群聚在这里。
a2-link	d7dca17479fa998e	这是一个链接。
a2-comment	7133fdae561f258d	这是一条评论。
a2-reporter	b34a13324ef36ded	她是一名记者。
a2-wild	dcd8d844da227fef	这是一只野生动物。
a2-vehicle	85cb3b1f716e13e6	这是一种交通工具。
a2-average	afc9240ddc11d47d	平均值太高了。
a2-earn	a06951d14e007b11	我可以赚更多的钱。
a2-guest	2a3ae3697a4a1451	他是一位客人。
a2-active	8c8bfa932ae0becd	这个团体很活跃。
a2-feed	58c8ec0a75c9c467	这是动物饲料。
a2-employer	9e2e837670a2cabb	她是一位雇主。
a2-arrange	140d3c6ce61edf86	我可以安排一次会议。
a2-mostly	b89838eaee0c9873	它们大体相同。
a2-count	048c28c59634b6b6	我能数清这些书。
a2-injury	bfc712e40ca3e191	这是一处严重的伤。
a2-colleague	fb8767c12d824d73	他是我的同事。
a2-cross	06f0ce581621c0d6	这是一个十字形。
a2-somewhere	4d5c40d498789d88	我得去一个地方。
a2-manner	847a898a43eab4c1	请用这种方式去做。
a2-baseball	1baa0821e7041644	我打棒球。
a2-introduction	b849c494a52a2948	这是一段简短的介绍。
a2-ordinary	f069bff138725024	这是平常的一天。
a2-appearance	d699ba4ebbbfe5fb	她的外表不一样。
a2-code	07b2bcde9be57e79	这是一段计算机代码。
a2-usual	49ab403855cc3cc9	这是通常的做法。
a2-belong	7c500d2f9cd1caeb	这本书可能是我的。
a2-formal	64a2def0f1dfd311	这是一封正式信函。
a2-explanation	22e752490232fc0a	我需要一个解释。
a2-search	a22330cb32ca79b5	搜寻现在开始。
a2-tie	46c1ae40dc9ceb3c	这是一条领带。
a2-device	b637ef3d23149240	这是一台设备。
a2-bottom	2eed9244fecf1a10	书在最下面。
a2-working	15c8d5889b43fb3f	这台机器正在运转。
a2-instruction	a8789b747253fe64	请阅读这条说明。
a2-recommend	558c87aec9f4c76d	我可以推荐这本书。
a2-shout	e05e8824698b1638	我听到一声喊叫。
a2-athlete	042921cab4988ce1	她是一名运动员。
a2-predict	3addfbc0815801ad	我可以预测结果。
a2-temperature	234e584ccafa0294	温度很高。
a2-connect	af982453e7e5896f	我可以把这两个部件连接起来。
a2-double	d31e03672c5265de	这个数字可能会翻倍。
a2-organize	055bdaa941ae3efe	我可以组织这场活动。
a2-thinking	619b2d535456a570	思考需要时间。
a2-gallery	6f2496fdf3476e01	这是一家美术馆。
a2-stress	c46d7c11c2261430	我在工作中感到压力。
a2-succeed	26af345bc6afbe8f	我们能够成功。
a2-alternative	bb927ddb7cdfc3f9	我们需要另一种选择。
a2-pilot	3307cd130c4dcdcb	他是一名飞行员。
a2-attractive	04096f2ccbacc9e3	这个地方很有吸引力。
a2-steal	6d86dad1051154fc	不要偷东西。
a2-winner	facc7631d41cab9f	她是获胜者。
a2-basketball	e266ec98559b15a9	我打篮球。
a2-golf	43cd7e2b56ce7e08	我打高尔夫球。
a2-crazy	ce332cf6d0181b62	那个想法太疯狂了。
a2-typical	e836f539cca90b04	这是一个典型例子。
a2-fix	26d2437c1b26a59c	我能修好它。
a2-fashion	b6a1fa3726ed7057	这种款式很流行。
a2-complain	3041c057d992835e	我可以投诉这项服务。
a2-anywhere	816cb7718f78d1e5	我可以去任何地方。
a2-engineer	2cc1bc7cccdba9e3	她是一名工程师。
a2-unfortunately	c47d790118cc5b9d	很遗憾，我不能去。
a2-hero	0d24da8f9064704b	他是一位英雄。
a2-height	4280ae9a3d447ae9	高度是两米。
a2-tip	f549ba769539a031	这里有一个实用建议。
a2-everywhere	72bf66f1a9b222c6	我到处都能看到人。
a2-criminal	b1a21f9dcc4fa31c	他是一名罪犯。
a2-knock	b10bc74fcb0043bf	我听到敲门声。
a2-passenger	56bad0f7673b2f1e	她是一名乘客。
a2-charity	1c4ca355ca282c9e	这家慈善机构帮助人们。
a2-celebrate	478e316314e4c5d6	我们可以一起庆祝。
a2-fishing	b9a9c56cc859fc99	我喜欢钓鱼。
a2-creative	76fcaa7ab2b381b4	她很有创造力。
a2-personality	e1782db8d363c8a5	她个性很强。
a2-badly	27e9ffe981f90c44	我把它做得很糟。
a2-musical	52ba91f6dcea2a24	这是一部音乐剧。
a2-journalist	0282e4439f1af225	她是一名新闻记者。
a2-climate	34706e201f2b856b	气候正在变化。
a2-airline	f2aecbb31c930ed8	这家航空公司不错。
a2-pollution	2af0d121c80ad53d	污染是一个严重问题。
a2-chip	2cb29950b173a0b9	这是一枚计算机芯片。
a2-quietly	1106492db11e8c63	她说话声音很轻。
a2-advertising	598fe84279830867	广告会影响人们。
a2-boss	0389c649b31bf664	他是老板。
a2-abroad	4eb829fba941243a	我想出国。
a2-pack	7fc42d0086a1eb71	这是一副纸牌。
a2-sauce	34c4ac67943bc7e5	这种酱汁很辣。
a2-electricity	a929987286f880a2	这台机器用电。
a2-parking	2167683ad3d8a123	这里停车很困难。
a2-possession	2b4dd3d1e4701711	这辆车在他手里。
a2-digital	7902dd32d6e02137	这是一台数码相机。
a2-luck	88691f08e2425da5	我需要一点运气。
a2-electronic	fa02b69ae0533ffc	这是一个电子设备。
a2-surprising	85297ebe459b317d	这个结果令人惊讶。
a2-designer	41105a7da5216d79	她是一名设计师。
a2-furniture	b69a6debe6a78f72	这些家具很旧。
a2-brilliant	d1ee981fcce90fa4	那个想法非常棒。
a2-wooden	58db85c762989243	这张桌子是木制的。
a2-salary	b10b12813544abb8	我的薪水不错。
a2-behave	d8bd0cde741619fe	孩子们应该举止得体。
a2-permission	d352ffbd747e479b	我需要得到许可。
a2-extreme	6fef7b8294e832b2	天气非常极端。
a2-pop	74e969f51bf7381e	我听到“砰”的一声。
a2-classical	853633c79c232f8d	我喜欢古典音乐。
a2-clothing	670435c47a0baf9c	这家商店出售服装。
a2-communicate	78828bd0141a7155	我们可以在线交流。
a2-lost	8918f7653b294a77	这本书丢了。
a2-profile	aff83ac9cf0c44bc	这是我的个人资料。
a2-disagree	6efae2c831a0f90c	我不同意他的看法。
a2-assistant	546047443c729120	她是一名助手。
a2-architecture	5bc66e73b0b43a62	我学习建筑学。
a2-secondly	5de2553afc2e4c5d	其次，检查答案。
a2-architect	17a499ea3cb8d97d	她是一名建筑师。
a2-detective	713dff7ce10bf5fc	他是一名侦探。
a2-nowhere	c023f3d417fd6c53	这条路通不到任何地方。
a2-reception	231b5c822aeedb79	请到接待处。
a2-musician	5418d86e0fea51c1	她是一名音乐家。
a2-repair	f4639ae7ed67b904	修理需要时间。
a2-celebrity	6a6405254088c571	她是一位名人。
a2-traveller	388f4cea5f3f9de4	他是一名旅行者。
a2-clever	101c94818e410f1c	她很聪明。
a2-ski	149e5efbda623baf	我有一只滑雪板。
a2-printer	100511b2ca61c711	这台打印机是新的。
a2-chef	e5ec390770f1251f	他是一名厨师。
a2-invitation	106e541af9587866	我收到了一份邀请。
a2-electrical	40ed7e4b5e566c03	这是一个电气问题。
a2-rubbish	34021e45524f158f	把垃圾放进垃圾桶。
a2-instructor	f21b140f1cc548b1	她是一名教练。
a2-running	ff7ba84853ba56de	我喜欢跑步。
a2-exact	f97c7398db085375	我需要确切的数字。
a2-everyday	7156c8059eccf3ec	这是一个日常问题。
a2-laughter	3894016520a5ae96	我听到了笑声。
a2-painter	1fce4bfb09d63263	她是一名画家。
a2-soccer	18d32310cf60f751	我踢足球。
a2-invent	da188a1436390637	人们可以发明新事物。
a2-physics	e69091064abc0faa	我学习物理学。
a2-businessman	93f45991e5e3e9bb	他是一名商人。
a2-chemistry	c08e5e17163e6da7	我学习化学。
a2-mathematics	00799be45366d4cb	我学习数学。
a2-intelligent	cc2de209fb7105c4	她很聪明。
a2-correctly	5c5b34dd5c1cfd95	我可以正确回答。
a2-sadly	732d65239df60636	很遗憾，我不能去。
a2-wow	9af0ad0237e07dff	哇！
a2-ankle	919e8ff515c56bf8	我的脚踝很疼。
a2-happily	3ad9615cd97d757e	他们幸福地生活在一起。
a2-trainer	5ba4a523b661ccf5	他是我的教练。
a2-thief	14787fbb01449015	他是一名小偷。
a2-firstly	a63529d3b87e3993	首先，阅读问题。
a2-scary	1555e5b3a1d6e3bf	这部电影很吓人。
a2-washing	3d5a1633b6b5c5e7	我洗衣服。
a2-runner	65eb2172b08987ed	他是一名跑步者。
a2-biology	1910ec2d9db98f58	我学习生物学。
a2-boil	8cde4355c9296413	把水烧开。
a2-zero	e8dd07483f5d8f1a	答案是零。
a2-blank	da132c6067073ed8	这一页是空白的。
a2-tourism	11c8d0320f532a30	旅游业在这里很重要。
a2-mobile	32e77136318b47af	这是我的手机。
a2-listener	e1ff548fc34b918e	她是一名听众。
a2-crowded	11243e304b4588f8	这里很拥挤。
a2-headache	b68de77fa44b9bf0	我头疼。
a2-jewellery	9430c8cd26bf4326	她戴着首饰。
a2-tablet	ee4cb9ba0de11a5e	这是一台平板电脑。
a2-pronounce	60ec26d6e41e0821	我会读这个单词。
a2-smoking	c6c6c54036326e33	吸烟有害健康。
a2-skiing	86eb28dc3353d714	我喜欢滑雪。
a2-ending	289008bc7f01c37c	这部电影有一个圆满的结局。
a2-noisy	62782db9e5f177ce	这里很吵。
a2-underground	d1ef36b2ae05b2d1	我乘地铁。
a2-loudly	6205766868e6e63e	他说话声音很大。
a2-jam	557d7428520b53af	这是果酱。
a2-rude	d0640ea2927c2f4e	不要无礼。
a2-flu	44f36b8c7bae3cc2	我得了流感。
a2-sailing	d4709708430a2756	我喜欢航行。
a2-maths	3eaca883f76fd72c	我学习数学。
a2-recycle	88684f0d9b3fa40a	我能回收利用它。
a2-laptop	8961cbc0690ddd0a	这是一台笔记本电脑。
a2-dentist	e25550d13f92b4d7	她是一名牙医。
a2-tidy	c984e9b0c3e121b3	房间很整洁。
a2-singing	948d86c08c71c10c	我喜欢唱歌。
a2-cooker	6f93363d4959fa84	这台炉灶是新的。
a2-curly	6f4dbc06809e8bdd	她的头发是卷曲的。
a2-connected	61bc6ada6626c3a2	这两个设备已经连接。
a2-included	07db0ac4f78f9614	费用包含早餐。
