# schema=1
authoring_method	direct-llm-reviewed
a2-device	b637ef3d23149240	这是一个设备。
a2-bottom	666c4b88d1bc8673	这是底部。
a2-plastic	899b763b0ad98037	这是塑料。
a2-alive	b664aece55840f2f	他还活着。
a2-working	75869cd7bc958b05	我了解工作。
a2-instruction	2efe8f3c9094f430	这是一条指令。
a2-disappear	17734b6cd889a80c	它可能会消失。
a2-recommend	b78fd84f0cd0b56a	我可以推荐它。
a2-shout	6e25dd2ffcf394f5	这是一声呼喊。
a2-planet	820e440b969f9818	这是一颗行星。
a2-athlete	099c8536a8bd6201	这是一名运动员。
a2-predict	b82e65ed1c8147f7	我可以预测它。
a2-temperature	23108aac829baea0	这是一个温度值。
a2-connect	6d71e3d9a4aef7b2	我能把它连接起来。
a2-double	e3f4eb954f54e2b5	这是两倍的量。
a2-organize	dd00d53cabc45383	我可以组织它。
a2-empty	0542883bf159c7e5	它是空的。
a2-novel	053db149911c55a8	这是一本小说。
a2-experiment	2bb5b7ab84dbcca1	这是一个实验。
a2-storm	1a5793e3b3077799	这是一场暴风雨。
a2-thinking	df490ebb1284cb1c	我了解思考。
a2-comfortable	0b0ec3c41370e40c	我感觉很舒服。
a2-gallery	6fcd0f61aab1f3cc	这是一间画廊。
a2-neither	a0ed20aa21bbc7cb	两本书都不在这里。
a2-stress	d9187e4e92141db1	这是压力。
a2-succeed	26f0e934d5b689b7	这可能会成功。
a2-alternative	47dcc509acbf51e1	这是另一种选择。
a2-castle	4fd700343ce3c27a	这是一座城堡。
a2-ourselves	ae518462353ff02e	我们能看见自己。
a2-pilot	c5e93f245195ffc4	这是一名飞行员。
a2-careful	a5a80d479022b0b8	我很小心。
a2-attractive	3cb4765f05902d71	它很有吸引力。
a2-steal	d2327814ee78dd71	我可以偷走它。
a2-winner	02925ff4303c9fcf	这是一位胜利者。
a2-valley	6b1d3ddc4c38157f	这是一个山谷。
a2-basketball	c838bfa6517b7a23	这是一个篮球。
a2-golf	2b5865c16b7cf37e	这是高尔夫球运动。
a2-crazy	90f9dcd85acc8f89	这太疯狂了。
a2-lake	245756b6c6cad6d3	这是一个湖。
a2-ancient	588fd22d0da786de	它很古老。
a2-pub	2b5bec64222f473f	这是一家酒馆。
a2-solve	d52f80ab2322d581	我可以解决它。
a2-bowl	f96e809fff0a0c2e	这是一个碗。
a2-typical	1847b562a40213ea	这是典型的。
a2-except	641ad3e5b7020c8e	除星期一外，我每天都去。
a2-ocean	6447a9057043361a	这是一片海洋。
a2-fix	9eadf1b442238569	我能把它修好。
a2-fashion	391aa17ce144a64a	这是一种时尚。
a2-mirror	66a3c8e9953df85b	这是一面镜子。
a2-coast	72b19b20493acd6c	这是一段海岸。
a2-complain	4fe940bd70d10ae1	我可以抱怨。
a2-anywhere	448e5dc2b1a110df	我可以去任何地方。
a2-engineer	e038a049691da383	这是一位工程师。
a2-drawing	50882921233c5aec	这是一幅图画。
a2-unfortunately	c47d790118cc5b9d	很遗憾，我不能去。
a2-hero	6e064453939bf54e	这是一位英雄。
a2-height	e8a22f3054753d9b	这是一个高度值。
a2-pleased	adf70bc5347d4222	我很高兴。
a2-ideal	81002decb5841317	这是一个理想。
a2-surprised	1f96f0f29ab370e7	我很惊讶。
a2-tip	46813040dc66312d	这是尖端。
a2-palace	c1b507b91e958cbe	这是一座宫殿。
a2-everywhere	83f91f4b6d6c9a9a	我到处都去。
a2-criminal	01002b100fec27d1	这是一名罪犯。
a2-knock	a76ce32f78533222	这是一次敲击。
a2-gap	fca655d58669a112	这是一个缺口。
a2-weak	01e1efa91f6cc5fa	它很脆弱。
a2-definitely	16d0ea389246e098	它们肯定完全相同。
a2-enormous	be59f40f987541b8	它非常巨大。
a2-passenger	a09567b1f542883e	这是一名乘客。
a2-column	3403329da09e56a8	这是一个专栏。
a2-charity	fb105ac576266280	我了解慈善。
a2-celebrate	4de2ba8195ea041b	我可以庆祝。
a2-fishing	727992685c33e8c6	我了解钓鱼。
a2-unusual	b06e72b6a2f6479b	这很不寻常。
a2-creative	80151d977a52ff69	这很有创造力。
a2-compete	350ffeac7588f3c3	我可以参加竞争。
a2-personality	e24aa5a7f3cde35a	这是一种个性。
a2-badly	27e9ffe981f90c44	我把它做得很糟。
a2-quantity	b33490d3c93a1ed5	这是一个数量。
a2-lab	2cc7f7ff3e59834f	这是一间实验室。
a2-musical	52ba91f6dcea2a24	这是一部音乐剧。
a2-journalist	be7ba20a6d3ce345	这是一名新闻记者。
a2-climate	9dc75c8f0cdbf2dd	我了解气候。
a2-cigarette	0d89b079e1642856	这是一支香烟。
a2-prize	b8278063a2e9836e	这是一份奖品。
a2-lucky	d8ba0d71dfa66be0	他很幸运。
a2-airline	813fa3f186985976	这是一家航空公司。
a2-tower	2f8d17b88df08235	这是一座塔。
a2-yours	22b4e975e9322124	这本书是你的。
a2-schedule	9d312799134ed185	这是一份时间表。
a2-pollution	b894bb5f9ef5aa46	我了解污染。
a2-chip	101e71dc890469d0	这是一片碎屑。
a2-quietly	c092b2a1eba043ed	我安静地完成它。
a2-wedding	b0943dbb5a854aa6	这是一场婚礼。
a2-advertising	50c48101d498c886	我了解广告业。
a2-desert	33a63dd9f8a16851	这是一片沙漠。
a2-cycle	27df6517f82f913c	这是一个周期。
a2-boss	1a0ca6a010f094e9	这是一位老板。
a2-habit	d7dff15f745fd33c	这是一个习惯。
a2-abroad	edcf2312ad8a0547	我去国外。
a2-joke	0288fdb1402b7c0f	这是一个笑话。
a2-pack	528faecccceab971	这是一个包裹。
a2-worried	7d1f3151c4163228	我很担心。
a2-sauce	ee983ff6adc72b4b	这是一种酱汁。
a2-illness	b4cca24b41c462a8	这是一种疾病。
a2-electricity	1df70ed8ac95741f	我了解电力。
a2-drama	ec6b4c1d1f62839f	这是一部戏剧。
a2-disaster	4ca38f37a4836fd7	这是一场灾难。
a2-parking	8e024bf1d17f4710	我了解停车。
a2-possession	837d6f92f810f9c4	这是一件财物。
a2-symbol	0b4fa79827c691aa	这是一个符号。
a2-bean	376262703c777748	这是一颗豆子。
a2-digital	1f3f27b33446b1f2	这是数字化的。
a2-twin	93e59cc6f9c5900d	他是双胞胎中的一个。
a2-luck	1a2d939e3d33facf	我了解运气。
a2-nervous	c8a3409ee8baf136	我很紧张。
a2-electronic	38f165c30cc0eccc	这是电子的。
a2-surprising	89199b9db71e5116	这令人惊讶。
a2-toy	7c7b2440fb89fd96	这是一个玩具。
a2-designer	46833de999456919	这是一位设计师。
a2-furniture	bef05d79243707a2	我了解家具。
a2-brilliant	880e8eeb31e2fbff	这很出色。
a2-belt	62ab317054fa02a9	这是一条腰带。
a2-recording	dcf9aea25b9d72b3	这是一段录音。
a2-wooden	2a74c138c896f4b4	这是木制的。
a2-salary	afeb268c3eb62ea0	这是一份薪水。
a2-behave	21c5600b314f32d5	我可以举止得体。
a2-permission	55b848a1b0c61339	我了解许可。
a2-carpet	215be54de7ec1fd3	这是一块地毯。
a2-mail	2aeae7da40882781	我有邮件。
a2-platform	44b4598a0d5894bb	这是一个站台。
a2-recipe	9f8cd4b510aea214	这是一份食谱。
a2-extreme	bb79d1f5b756fa34	这是一个极端情况。
a2-essay	38ddc68a5f9027c9	这是一篇随笔。
a2-pop	8238266453739f8f	这是“砰”的一声。
a2-stupid	1108e07ffaf7a8db	这很愚蠢。
a2-classical	d602b51b27c22221	这是古典的。
a2-helpful	f2400a4751ec0f20	这很有帮助。
a2-lecture	a683b45526b44290	这是一场讲座。
a2-borrow	f88b02b2adeec0d1	我可以借一本书。
a2-clothing	9084d5151451e830	我了解服装。
a2-awful	c157e531563da793	这太糟糕了。
a2-react	3d0fbe73bb97f171	我可以作出反应。
a2-communicate	3174fa7f3b133c37	我可以与人沟通。
a2-lost	23cce5fa63562c10	它丢失了。
a2-profile	5fc002b271ec89ad	这是一个个人资料页。
a2-disagree	d21a7dafa20bab64	我可以表示不同意见。
a2-virus	8afd25ff895c8afd	这是一种病毒。
a2-assistant	1d565e5d2425a7c0	这是一位助手。
a2-architecture	45087fdfc3473061	我了解建筑学。
a2-lend	a1e9bb9ea5c4dc1d	我可以借出一本书。
a2-secondly	1b47e4d1341562a9	其次，我出去。
a2-adventure	a39d8a73fc18aa48	这是一次冒险。
a2-architect	8f4f27fd1d21539d	这是一位建筑师。
a2-detective	b35e4e81d03f86c3	这是一名侦探。
a2-nowhere	7aabbb1b6bc008ba	我哪里也不去。
a2-reception	ee15bb3bb8a0296d	这是一个接待处。
a2-diary	5964bcb786b9f4ab	这是一本日记。
a2-musician	aa344f36ca0e7261	这是一位音乐家。
a2-repair	80ec5cdfd3333aad	这是一次修理。
a2-celebrity	bd6cbb5b7b7cc411	这是一位名人。
a2-scared	6b406be8f610dabc	我很害怕。
a2-traveller	cd10905bbf18a29f	这是一位旅行者。
a2-clever	18e5fa78efeaf3ab	它很聪明。
a2-incredible	255e3aabb981c7e3	这令人难以置信。
a2-van	6bd434529bd0e53d	这是一辆厢式货车。
a2-ski	d1b2aa7c72b0af65	这是一副滑雪板。
a2-asleep	4e254c31df5c9146	他睡着了。
a2-uniform	c56eefd2faa48ee6	这是一套制服。
a2-printer	f4f65ed19fb2389a	这是一台打印机。
a2-hers	08c013ef31b2a168	这本书是她的。
a2-lifestyle	34ef35d3f65a9117	这是一种生活方式。
a2-petrol	502afaae6f3d340b	这是汽油。
a2-informal	6eff599d84e0f5e2	这是非正式的。
a2-differently	4f2b62a3d98aa3f6	我用不同的方式去做。
a2-chef	a77505dc4d8851fa	这是一位厨师。
a2-invitation	b006a520621ac8fd	这是一份邀请。
a2-lemon	b6636ec6723e191b	这是一个柠檬。
a2-electrical	10d0f5f71dee5354	这是电气方面的。
a2-rubbish	3fe9ba190ff28011	我有一些垃圾。
a2-instructor	5e95089fbc460851	这是一位教练。
a2-comedy	878247ae562765af	这是一部喜剧。
a2-running	ff7ba84853ba56de	我喜欢跑步。
a2-exact	8280500772c81dc7	这是精确的。
a2-pet	b4f81c646fd98149	这是一只宠物。
a2-everyday	5683883ea1c37c1b	这是日常的。
a2-farming	fc99a91417ef2d73	我喜欢务农。
a2-greet	8e48f237055430e9	我可以向他问好。
a2-laughter	5d92a07b4fc536c5	这是笑声。
a2-painter	ef01cfd6661b4b03	这是一位画家。
a2-lamp	56c26ab6e2e8ab88	这是一盏灯。
a2-soccer	b8fe221369de7110	这是足球运动。
a2-invent	1608f99c4a41bb80	我可以发明它。
a2-physics	d981f3b0c35974bf	我了解物理学。
a2-missing	5427b223c80c6d62	它不见了。
a2-beef	6af7a00e26a576af	这是牛肉。
a2-lorry	85b0020cd28c42de	这是一辆卡车。
a2-businessman	cd6c1e73e70fc09c	这是一位商人。
a2-chemistry	f9d12720298cda71	这是化学。
a2-mathematics	31b29cb0ead99126	我了解数学。
a2-intelligent	58ab7fee97077679	它很聪明。
a2-unhappy	01f4de6672905f49	我不开心。
a2-correctly	6b2c2e147e5f6e27	我正确地完成它。
a2-continent	05605543b771fb6a	这是一片大陆。
a2-flying	cbb02530a5623eb8	我喜欢飞行。
a2-sadly	2170e8c5b930c59d	我伤心地做这件事。
a2-towel	2fe577b88e3b9b2b	这是一条毛巾。
a2-cupboard	8e2319ea724d51aa	这是一个橱柜。
a2-web	745e7a5d71f52cb4	这是一张网。
a2-wow	0cb67ef058aa7fd4	我说“哇”。
a2-ankle	0d84897fd48b5dc1	这是一个脚踝。
a2-happily	740afee6f03b624b	我高兴地完成它。
a2-poster	b518335073fe77d5	这是一张海报。
a2-jazz	f213bc8334dbc99a	这是爵士乐。
a2-trainer	e9a03ce8aad2d285	这是一位教练。
a2-teenage	edbbd2d201ce9a02	他是一个十几岁的男孩。
a2-thief	0ca928d6a37834a6	这是一名小偷。
a2-firstly	f1e3ab6ab1a7ad85	首先，我出去。
a2-scary	47bcff172aa97a7e	这很吓人。
a2-fortunately	8eadfacd8b8cc95f	幸运的是，我可以去。
a2-advertise	5cd8a2c276a84aff	我可以为它做广告。
a2-washing	ccd053501498a503	我了解洗涤。
a2-cartoon	e42295b55d589d7c	这是一幅卡通画。
a2-biscuit	d2d5f3f760a6b277	这是一块饼干。
a2-runner	1192a6591f8dd5c0	这是一名跑步者。
a2-biology	79b01f3ee997c076	这是生物学。
a2-boil	e70bae9ff45318d4	这是一次煮沸。
a2-zero	89b8ad93c544f218	这是一个零。
a2-blank	2ce6816d65732d5f	这是一本空白的书。
a2-hockey	cd72f73c337e99a2	这是冰球运动。
a2-tourism	f7defaa5560904b7	我了解旅游业。
a2-mobile	bf812bb82e73ad5c	这是一部手机。
a2-listener	813c6ae9ac18ef2e	这是一位听众。
a2-chat	0069f93f79f6eb3d	我聊了一会儿。
a2-crowded	5fc3b97f674f4952	这里很拥挤。
a2-headache	27cab35c9da92d1d	这是头痛。
a2-jewellery	269a0575a12178b7	我有一些珠宝。
a2-tablet	ee4cb9ba0de11a5e	这是一台平板电脑。
a2-pronounce	8ef8d8871c673271	我可以读出它的发音。
a2-smoking	e66af822a34c8f1e	我了解吸烟。
a2-polite	c1d12874bae76c1b	我很有礼貌。
a2-skiing	6c834fcbbe9394a9	我了解滑雪。
a2-ending	6abc94c7b346cf95	这是一个结尾。
a2-noisy	fea602704cdf76f8	这里很吵。
a2-underground	6f24002731961bd9	这是地铁。
a2-frog	3255403b08e7590c	这是一只青蛙。
a2-loudly	2f775e03e2cb9985	我大声地做这件事。
a2-fridge	6861dcf2fdeaf2b1	这是一台冰箱。
a2-jam	41917a33b7c074ee	这是一罐果酱。
a2-spider	7c7533fd7ff0dfb1	这是一只蜘蛛。
a2-rude	e7cbc8c502f424ae	我很粗鲁。
a2-flu	b1e2aece8256286d	这是流感。
a2-sailing	00f5a60af02d8439	我了解航行。
a2-maths	ddf071a54763fbe1	这些是数学内容。
a2-recycle	54f0497a21f5281b	我可以回收利用它。
a2-laptop	8961cbc0690ddd0a	这是一台笔记本电脑。
a2-dentist	c805a1c394f36877	这是一位牙医。
a2-motorcycle	23bfcc50d6f4423d	这是一辆摩托车。
a2-lazy	ffc5ce10a08824b2	他很懒。
a2-tidy	ef8635b7829e96ea	这里很整洁。
a2-download	2ad69de0f101be77	我能把它下载下来。
a2-singing	b3ddc7a7a434d7d7	我了解歌唱。
a2-worse	8ac7b7e4941a38b2	这更糟。
a2-cooker	a8814052328db3f3	这是一台炊具。
a2-camping	1c5e06f9ec37ab86	我喜欢露营。
a2-divorced	fdd281fa11cc945e	我离婚了。
a2-curly	2dd366cd501520fd	它是卷曲的。
a2-connected	2197ba261cd24b83	它已连接起来。
a2-worst	b68be626f744cc9b	这是最差的。
a2-included	009e4bcccaacf892	它包括在内。
