# schema=1
authoring_method	direct-llm-correction
b2-perspective	f76d1ce39bd38122	试着从不同角度看待这个问题。
b2-construction	f66ef4b2ea4d10d2	这座新桥正在建设中。
b2-internal	8c01cf9a17a93568	公司编写了一份内部报告。
b2-launch	fc2b1d0d157141a9	公司举行了产品发布会。
b2-session	d26f0530bc844963	我们今天有一场会议。
b2-housing	70f614b79e5a790e	这座城市面临严重的住房问题。
b2-discipline	566702950d62433a	这项工作需要自律。
b2-increasingly	451590463cabd24c	网络安全正变得越来越重要。
b2-hell	9e7c1eda9252f962	那段旅程简直是地狱。
b2-moral	8f42d72edce10f92	这个故事的寓意很简单。
b2-retain	867840833f744c9f	公司希望保留控制权。
b2-victory	e02b18764c24a6c6	这支队伍取得了一场重要胜利。
b2-loan	896678c46a5a6fb7	他们用银行贷款买了房子。
b2-finding	8f7abfbe537ad467	报告提出了一项关键发现。
b2-grab	aaab7acafc00e145	她试图抓住那个包。
b2-limited	988a3e51b904d8fa	我们的时间有限。
b2-assess	4f6389a28b3a8ee6	我们需要评估风险。
b2-pension	3c4fe44f49e5826c	他领取一笔不多的养老金。
b2-conservative	b03ccdaf698856cb	他是一名政治保守派人士。
b2-capacity	56018e38ad9c6ae5	工厂正在满负荷运转。
b2-vary	1425ee36eaf748f0	价格因地区而异。
b2-finance	a9c4a23cd700e626	这门课程教授基础个人理财知识。
b2-impose	3b7c95ae2db89f84	法院可能会处以罚款。
b2-rural	883041ef9a3b333c	她在农村地区长大。
b2-lean	b33879de2983b041	不要靠在墙上。
b2-whereas	110c2b5748a0454c	我喜欢喝茶，而她喜欢喝咖啡。
b2-initial	bcc4c6f4b3e31707	请在这里写下你的姓名首字母。
b2-examination	6d87acf31da4fab2	医生进行了体检。
b2-declare	cb34170273fcda46	他们将于明天宣布结果。
b2-aircraft	7d3ad15ea6f9fea8	这架飞机非常大。
b2-reasonable	ee3e16d72a54a244	这个价格看起来很合理。
b2-offence	8f1e102c3164dd1e	这种行为属于违法行为。
b2-reduction	ed3cfc72fa90262e	这项改变降低了成本。
b2-detailed	9054069fab758145	她写了一份详细报告。
b2-concentration	c6703e763d1b61d0	这项工作需要全神贯注。
b2-overall	00259026ca7622e8	总体结果是积极的。
b2-corporate	db83f69be8700438	这是公司政策。
b2-urban	4c5f8c3bcb56ecc6	该地区大多数人生活在城区。
b2-criticism	6049e4dc377bda3f	这项决定受到了批评。
b2-transfer	83367e72d2ace1c0	我通过银行转账付款。
b2-surround	39248f658c719a59	树木环绕着这栋建筑。
b2-soul	44cb0a627240c87a	这本书探讨了人的心灵。
b2-panel	0b14045371641095	一个专家小组审查了证据。
b2-select	158297d028787e45	只有一小群经过挑选的人受到邀请。
b2-emotional	7e3c0fc0442e7e9a	这场会议让人情绪激动。
b2-fee	1f26c61df41c1edb	你必须支付一笔小额费用。
b2-institute	02aa829089819caf	她在一家研究所工作。
b2-component	f1f434ea2bc72abe	这个部件是系统的一部分。
b2-minority	5e95a2ce0198a633	只有少数人赞成。
