# schema=1
authoring_method	direct-llm-correction
b1-honest	501d525e0206ab64	请给我一个诚实的回答。
b1-giant	b1a2420f37fab0a9	这个故事讲的是一位友善的巨人。
b1-written	b3584dcf6cfb647d	请按照书面说明操作。
b1-advanced	9cb6ce29c9b12807	这是先进技术。
b1-shell	11bfe823003f5062	她在海滩上发现了一个漂亮的贝壳。
b1-brand	7f30df645ae74894	这是一个著名的服装品牌。
b1-mad	299d4ed263c2afd5	我迟到让她很生气。
b1-confident	9b47ba493da10fdd	我对考试很有信心。
b1-sink	5bd49be67a00c5ad	碗碟放在厨房水槽里。
b1-ingredient	5c13fcb34217af04	这种原料很重要。
b1-poet	2e776af03df57a7f	她是一位著名诗人。
b1-label	562ba471b3b428bb	使用前一定要阅读标签。
b1-personally	fff708a7a397d4bd	我个人更喜欢第一个方案。
b1-ceiling	2e78964c728ce3ef	这个房间的天花板很高。
b1-fence	820dc274cab10a1b	花园有一道围栏。
b1-portrait	2a3615b3431c63f0	这幅肖像画的是她。
b1-ceremony	e592869d908c3d55	仪式十点开始。
b1-impressive	41a49f4ea1c9e46f	这个团队取得了令人印象深刻的成绩。
b1-remote	3a5e805507f3cd61	他们住在一个偏远的村庄。
b1-qualify	64fbf2e36b67114d	我可以取得决赛资格。
b1-princess	e2cc4cae281428d2	这个故事讲的是一位年轻公主。
b1-stranger	d429a315d17427ea	不要把个人信息告诉陌生人。
b1-summary	7ad0e9c081d0a8ad	报告开头有一段简短摘要。
b1-related	8a10ffcf830c1601	这个问题与压力有关。
b1-translate	5eca8567f8b46b8c	你能翻译这段文字吗？
b1-dirt	cfa9434f88a2ad71	他的鞋上有泥。
b1-leisure	50a91f3e977c4bab	我在闲暇时间读书。
b1-import	da0f81ab795d14c4	石油是这个国家的主要进口商品。
b1-poetry	52f2978dc1355f5a	她喜欢读诗。
b1-innocent	83e09c23c9531099	法院判他无罪。
b1-gentle	bd999469def68174	她说话声音很温柔。
b1-favour	3cba15125ba1d1e5	我能请你帮个忙吗？
b1-silly	2aafdc88fe82a78f	这是一个愚蠢的错误。
b1-rugby	9c733b1cbf09930c	他们每周六打橄榄球。
