# schema=1
authoring_method	direct-llm-reviewed
ogden-first	f850b96df98a7e04	首先，我出去。
ogden-very	655771fe32d9b9e4	它非常大。
ogden-new	e03ce18e5250ed58	它是新的。
ogden-may	8319092d19025a69	我可以走。
ogden-way	5089d85d5d53cc07	这是一条路。
ogden-well	abf5d9c4891fb148	我身体很好。
ogden-because	40ecc6b22a2f4b8b	因为你来了，所以我走。
ogden-after	f61882bdcb377892	这之后我再走。
ogden-between	afc393a97a1c43c6	它在你我之间。
ogden-down	20fc5632fff2c5a8	我向下走。
ogden-back	4fa5bafc51c8f1b9	我往回走。
ogden-even	8e35d8342dc17bbe	它很平坦。
ogden-such	be44e024ecaa7a40	这是这样的一本书。
ogden-through	f703096da28ad4bb	我穿过这个房间。
ogden-over	7e2a4ffe7ab16d10	我可以从这个上方经过。
ogden-still	088f06fc628175ac	我还在这里。
ogden-put	a95909f902c0b4d2	我把它放在这里。
ogden-work	e816edbb3ea6ba93	我了解这项工作。
ogden-last	294b6debe699cbcd	这是最后一本书。
ogden-government	baec0bd691d3ad17	这是一个政府机构。
ogden-school	27b594a184cf5aa2	这是一所学校。
ogden-old	cc99b09917e05509	它很旧。
ogden-great	5fbcc800a49ee1f9	它很棒。
ogden-where	934b92cde2b71a36	它在哪里？
ogden-need	5ffa1f01749720e2	这是一种需要。
ogden-seem	cf60d5bba38e613c	它看起来很大。
ogden-system	ae31a328d0424e49	这是一个系统。
ogden-same	60ac8c47bbfb59c3	它们是一样的。
ogden-part	e6e467cd213cfd1d	这是其中一部分。
ogden-high	b8fe6211e78ef25e	它很高。
ogden-group	f120f20aaf65c9fb	这是一个团体。
ogden-number	97b2aee6f0ad1be1	这是一个数字。
ogden-much	9fac9532185451e1	我没有多少食物。
ogden-family	e352bd013fd4bfe6	这是一个家庭。
ogden-house	5c49add55dd1bfe2	这是一栋房子。
ogden-company	71f6407bcae4656f	这是一家公司。
ogden-while	13aa147ec1f8d53a	你在这里时，我就走。
ogden-against	d3a1f3d01197195b	我反对这件事。
ogden-again	78e81ca81479874e	我可以再去一次。
ogden-keep	9a1eacc67dad0131	这是一座堡垒。
ogden-let	6ac370a503f362c2	我让它离开。
ogden-place	26ea39b8919906c3	这是一个地方。
ogden-hand	6543227774035b31	这是一只手。
ogden-country	1bd2e30960c92748	这是一个国家。
ogden-help	63f53504751a6527	我可以帮助他。
ogden-talk	25494af45861f3a4	这是一次谈话。
ogden-turn	a458168fbcf1f18f	这是一个转弯处。
ogden-every	6877b27a99a93377	我每天都去。
ogden-start	ba7011904375a872	这是一个开始。
ogden-off	ae4b9516ebcff629	我可以离开。
ogden-point	f15ede281b4df0dc	这是一个点。
ogden-different	62f6df2650bec3b5	它们不一样。
ogden-week	857c99c88a4b88b2	这是一个星期。
ogden-end	6ba4fbc3489b71c3	这是一个结尾。
ogden-right	c6c0e7bc415c3670	这是一项权利。
ogden-question	4aec8a53ba2cf8a2	这是一个问题。
ogden-before	51e1f870e62e504c	我比你先走。
ogden-play	d6bdb25cd221d700	这是一出戏。
ogden-fact	66731bced6e15f14	这是一个事实。
ogden-run	c435007591809e9d	这是一次跑步。
ogden-quite	a043c269ae137319	它们几乎相同。
ogden-move	dbc04cc8ed22b86d	这是一次移动。
ogden-side	b3e08b650b5392f3	这是一侧。
ogden-month	b9ca30a0b3eeb7dc	这是一个月。
ogden-business	49bd7715c399b1aa	我了解商业。
ogden-long	93c87afaa2968168	它很长。
ogden-important	b66d421a836de4f8	它很重要。
ogden-eye	e99f14c2feef7867	这是一只眼睛。
ogden-power	a9ab71d82740318f	我了解力量。
ogden-change	9627b25d8ade348e	这是一个变化。
ogden-water	d06737d317a39651	我了解水。
ogden-young	b9d496a26dce16c4	我很年轻。
ogden-mother	9c713d239666fb5b	这是一位母亲。
ogden-interest	164094ec482e0cf2	这是一种兴趣。
ogden-money	e536efd85c1e7204	我了解金钱。
ogden-story	1a13b3e3b2cde12d	这是一个故事。
ogden-development	a7756ba4660a1aff	我了解发展。
ogden-level	9f2957011ac9e33c	这是一个水平。
ogden-second	168cacf25b954b2a	这是第二个。
ogden-early	6147d3ace192367b	现在还早。
ogden-though	ee2fed2ab4656aa3	我喜欢它，虽然它很小。
ogden-kind	a50593af679c9f76	这是一种书。
ogden-far	94d1cfcfb7df96b5	它离得很远。
ogden-market	d492ba05748b070e	这是一个市场。
ogden-little	38e04d1c18f7b2d1	我有一点食物。
ogden-possible	28601fe1763b33db	这是有可能的。
ogden-effect	0ea178855cda7743	这是一种影响。
ogden-lead	6355c1708ddaee18	你可以带领我。
ogden-friend	cf1219e7d67afb96	这是一位朋友。
ogden-father	3acbe310db747b6c	这是一位父亲。
ogden-idea	aeaffb2926ab25c9	这是一个主意。
ogden-name	00ae69200b0927c3	这是一个名字。
ogden-hour	ba259d9be332426a	这是一个小时。
ogden-body	85c94b9fbcad642a	这是一具身体。
ogden-line	d7baa17479ddb328	这是一条线。
ogden-political	95e1a9a5afd1d94b	这是政治性的。
ogden-law	2c9bd5ff3e340e9e	这是一部法律。
ogden-among	d855bda4d267ea25	我在人群之中。
ogden-almost	e8b2cfb3ae188c3d	它们几乎相同。
ogden-ever	5acb87f98b61dd66	你曾经去过吗？
ogden-bad	934b97b20c6b467f	这很糟糕。
ogden-face	66ad1dced712dac1	这是一张脸。
ogden-road	6945fd72bc46cdf4	这是一条道路。
ogden-authority	ccb10ddeaa126fe7	我了解权力。
ogden-together	3bb625c4fecdf41d	我们一起走。
ogden-produce	85150b4b0aa5b9b3	这是农产品。
ogden-rate	c93ade1f2762aaa8	这是一个比率。
ogden-late	37bcf54da87150ce	现在很晚了。
ogden-general	fe18dc2864625e06	这是一位将军。
ogden-office	f27e7eab329c58b4	这是一间办公室。
ogden-war	50a8565d5d6d9fb0	这是一场战争。
ogden-offer	38085fe005e7110c	我可以把这个提供给他。
ogden-minute	526290163c7a00c0	我有一分钟。
ogden-full	4f7fa39c35a65e99	它装满了。
ogden-reason	034fa1f4d2b43922	这是一个理由。
ogden-view	2aaea8a4ee209449	这是一处景色。
ogden-low	ff4bb77c2977468c	它很低。
ogden-public	d05e6da35537c7d5	这是公开的。
ogden-watch	6712ceb9a4ce689b	这是一块手表。
ogden-society	94fc765e924ecbf6	我了解社会。
ogden-stop	c3e0cb87e1336fc6	这是一个停靠点。
ogden-fall	3ae0c6c58543500b	我在秋天去。
ogden-price	7e73b16412f7552d	这是它的价格。
ogden-control	2830b4d2c9d5e095	这是一种控制手段。
ogden-process	94d5394e8db975f5	这是一个过程。
ogden-position	6fe090e00ade323b	这是一个位置。
ogden-art	b7eec38fcc54c01b	我了解艺术。
ogden-history	2491ec3925d6c97e	这是一段历史。
ogden-education	60356460e2b9adaa	我了解教育。
ogden-walk	d3417aa5f3295201	这是一次步行。
ogden-send	9cdabe2cb0340480	我可以把这个寄给他。
ogden-value	6e8469f48f02fde9	这是一种价值。
ogden-order	66ca2ce297f1304c	这是一种次序。
ogden-force	fae21051e31d0f5b	这是一股力量。
ogden-air	6c887e9032412680	我了解空气。
ogden-act	69a8d49f61865050	这是一个行动。
ogden-enough	28f5b09fd483aadc	我有足够的食物。
ogden-across	9b7408c6d67d5b9f	我穿过这个房间。
ogden-foot	8bcd1fe0965231d2	这是一只脚。
ogden-street	fa2e2fe73d71e437	这是一条街道。
ogden-decision	00002500918e95ac	这是一个决定。
ogden-industry	bf2386783b8e23e6	这是一个行业。
ogden-mind	b30d72bbb3eae4ce	这是一种思维。
ogden-clear	3699f633e676b601	这很清楚。
ogden-love	a7aa275223367a94	我了解爱。
ogden-music	2a1655093d9af205	我了解音乐。
ogden-church	3d75992d2f2b4bc3	这是一座教堂。
ogden-paper	f981dc994b939f35	这是纸。
ogden-condition	739fe351a150e23d	这是一种情况。
ogden-sense	08bcd68be4e6a4ec	这是一种感觉。
ogden-nation	f2b6a16f9e2e7d53	这是一个国家。
ogden-cut	0ccf59f8525db386	这是一道切口。
ogden-death	455167b5e428e9b9	这是死亡。
ogden-building	4ccd128e3c87ab3e	这是一栋建筑物。
ogden-experience	0a47acc66ae61dcc	我了解经验。
ogden-sort	8e9d7f5864ef6f6a	这是一种类型。
ogden-town	424e286b8825d52a	这是一个城镇。
ogden-care	b31e6659ef307b07	我了解关心。
ogden-language	b3f1583a885fa782	我了解语言。
ogden-hard	949188cb29e5d001	它很硬。
ogden-special	df507c6782c8a4e7	它很特别。
ogden-field	5fed879cda8b68c2	这是一个领域。
