# schema=1
authoring_method	direct-llm-correction
a2-suggest	fc1321e02faad759	我能提出这个建议。
a2-receive	b7c5b20169250fb2	我能收到它。
a2-contain	14b23f5412c5443b	我能容纳它。
a2-reduce	fba9225dd3eceb29	我能减少它。
a2-achieve	e78bb48ef038c5c8	我能实现它。
a2-throw	cb0f81036283cc67	我能把它扔出去。
a2-enter	ca678e03d6d96a45	我能进入它。
a2-protect	7ca182d0e7870d68	我能保护它。
a2-identify	ada02ac6595a495b	我能识别它。
a2-recognize	23b052645b2a553b	我能认出它。
a2-publish	7ac5f8c5a120b5a0	我能出版它。
a2-avoid	8f6a71bf2d71fd46	我能避开它。
a2-suppose	02312d8a7b1166e6	我能这样假设。
a2-remove	27f877bd31441c9b	我能移除它。
a2-replace	134d48631db13f33	我能替换它。
a2-discover	c99a59548e0f9f5c	我能发现它。
a2-refuse	fe3a59f5ad9baf8f	我能拒绝它。
a2-perform	ac85b0a84d797e46	我能执行它。
a2-attend	f81579f7bbfb6923	我能参加它。
a2-earn	cf7bc9862a3074fd	我能赚到它。
a2-count	874385628a115280	我能数清它。
a2-destroy	b8d036289500c28d	我能摧毁它。
a2-recommend	c059453a1194e739	我能推荐它。
a2-organize	ba4ffddcdc7c8712	我能把它组织好。
a2-steal	fb80feeb37947d64	我能偷走它。
a2-solve	e434e0bee60a3734	我能解决它。
a2-fix	26d2437c1b26a59c	我能修好它。
a2-communicate	5ba5fa92cebf9e86	我能把它传达出去。
a2-invent	15e31ac4f8d226db	我能发明它。
a2-advertise	4720c4daaad5142e	我能为它做广告。
a2-recycle	88684f0d9b3fa40a	我能回收利用它。
b1-require	863e14cdd304b164	我能要求得到它。
b1-represent	a8410ca83dbdbf7b	我能代表它。
b1-prove	73a2effe4d780409	我能证明它。
b1-indicate	aed4229cb4e79ad4	我能指出它。
b1-announce	df129047dc08bf58	我能宣布它。
b1-suffer	9d610b1c076fd530	我能忍受它。
b1-intend	38c6439810f9e939	我有意这样做。
b1-define	01cb3f43ac3e5f24	我能定义它。
b1-confirm	a3fd696970b89f5f	我能确认它。
b1-deliver	9e1fd726b5f71a62	我能递送它。
b1-ignore	2ca2c097cb5940f5	我能忽略它。
b1-survive	3e02c7b51423b691	我能挺过它。
b1-promote	e1478a826e420ebb	我能推广它。
b1-commit	874f886b2a86433a	我能承诺做到。
b1-attract	fa2b96c561f7e0b2	我能吸引它。
b1-expand	51f0ccb38ca477ab	我能扩大它。
b1-conclude	b2383d06ba932a02	我能结束它。
b1-locate	b446f5fbb033815d	我能找到它的位置。
b1-afford	a491e94a5b4c4c95	我买得起它。
b1-appreciate	4451ed3cc2d8e35d	我能欣赏它。
b1-attach	fc87dc58d20747b6	我能把它附上。
b1-invest	526efe3e627d4366	我能把它用于投资。
b1-analyse	0fb6f20b42cc71f2	我能分析它。
b1-bury	1e9d321ae08ce94f	我能把它埋起来。
b1-weigh	cc39c14599667c2f	我能称量它。
b1-translate	56303c15618536b1	我能翻译它。
b1-bake	efe025a4959b0ce2	我能把它烤好。
b1-consume	e39ee5dd6c583efd	我能消耗它。
b1-injure	b2130fd6b762ffd0	我可能会伤害它。
b1-punish	d32af782cc8974c2	我能惩罚它。
b1-update	c5b3cbc177f2c326	我能更新它。
b1-entertain	e50051f2079e41c1	我能用它来娱乐大家。
b1-fasten	ada5d16dc6318d16	我能把它系紧。
b2-establish	f1b18b9df8be4440	我能建立它。
b2-seek	4d6720e0b22c7acf	我能寻找它。
b2-ensure	18ba79128875168d	我能确保它实现。
b2-maintain	dde6a0d111068156	我能维护它。
b2-reveal	3ebe4be48ad4f562	我能揭示它。
b2-enable	0ee69b374109ea58	我能启用它。
b2-adopt	029aa2807ca3e055	我能采用它。
b2-observe	3cb6911d88766613	我能观察它。
b2-demonstrate	95e98f25d9a04045	我能演示它。
b2-threaten	04929cdcb9fad75c	我能威胁它。
b2-acquire	36a21e6c35ff4ac7	我能获得它。
b2-retain	dbf292b68552be9a	我能保留它。
b2-assess	36e3a2e4a3136f95	我能评估它。
b2-vary	23e72dcf4665f3d7	我能改变它。
b2-impose	5d4512eec3e0b678	我能强制实施它。
b2-acknowledge	221963c55117b16f	我能承认它。
b2-imply	c8e189505288ffd6	我能暗示它。
b2-illustrate	e80ed89a7507dd58	我能说明它。
b2-generate	adaf756c26451f9c	我能生成它。
b2-defend	8eef124f454d95b3	我能保护它。
b2-approve	c4e0073a3e00c3f6	我能批准它。
b2-pursue	86565e5a87a28255	我能追求它。
b2-recover	5461555c84a5de0b	我能找回它。
b2-cite	6399d8853917eb68	我能引用它。
b2-oppose	3b7e8cd936b28075	我能反对它。
b2-justify	4c5ba5cd2c1d8de7	我能说明它是合理的。
b2-emphasize	d4be2e409bdf33b7	我能强调它。
b2-expose	902cc0510d8adebb	我能揭露它。
b2-abandon	3f293f1c8265386e	我能放弃它。
b2-construct	19de582f7a288c36	我能建造它。
b2-interpret	a114e93f9958d6ba	我能解释它。
b2-dismiss	c30286e427d241fb	我能驳回它。
b2-possess	1904767dbd0231af	我能拥有它。
b2-transform	9c73a2e30044b38f	我能改造它。
b2-preserve	390dfb7ffc5c35cf	我能保护它。
b2-submit	6ccb95c8d76fa40f	我能提交它。
b2-enhance	3f711cf4102dea65	我能改进它。
b2-evaluate	a4dd7f2a86902698	我能评估它。
b2-detect	eba271b093410c4c	我能检测到它。
b2-install	118d23ef09345b88	我能安装它。
b2-distribute	31a4faa65c0e4e90	我能分发它。
b2-satisfy	b083aec026328062	我能满足它。
b2-adapt	6571ba5a45dfa63b	我能调整它以适应新情况。
b2-excuse	d24fac23588a5d72	我能原谅它。
b2-swear	6b60cfd7e1919155	我能对它发誓。
b2-modify	34ba2b54f622ec99	我能修改它。
b2-interrupt	fc032c71aae23b1c	我能打断它。
b2-edit	d3006a7f15290693	我能编辑它。
b2-obey	6b744e785ee7732c	我能服从它。
w-days	52b0d2c35a6fb8e4	我喜欢白天。
w-nights	a873c5a90a484720	我喜欢夜晚。
w-use	9a62903b2aa45c1b	我会用这个。
w-make	75a342b0a88a26ee	我能做这个。
w-thing	46a0c7d6c38c65aa	这是个东西。
w-ago	b664c997fbb9f888	一天前我在这里。
ogden-able	8fdf30bed01899e0	我能做到。
ogden-humour	f2055e30d1bd9641	我喜欢幽默。
ogden-of	bd0751d1ff8cca8c	这是两者之一。
ogden-say	641f78b8fcb88db3	我可以这么说。
ogden-as	197d88280af94ec5	你照着我的样子做。
ogden-first	f850b96df98a7e04	我先出去。
ogden-even	8e35d8342dc17bbe	它是平的。
ogden-government	65dc9d4b3b8a4267	这是政府。
ogden-need	7d28fe4a058a61fe	有这项需求。
ogden-same	60ac8c47bbfb59c3	它是一样的。
ogden-start	ba7011904375a872	这是一个开端。
ogden-different	62f6df2650bec3b5	它是不同的。
ogden-quite	a043c269ae137319	它完全一样。
ogden-almost	e8b2cfb3ae188c3d	它几乎一样。
ogden-son	6e4c151ae846c743	这个男人有个儿子。
ogden-interest	bf367c0207457277	兴趣很重要。
ogden-level	ae3b2517c579305b	这个水平很高。
ogden-body	8fcbd47a37017798	身体很重要。
ogden-political	95e1a9a5afd1d94b	它带有政治色彩。
ogden-order	bec925e3aabc0604	这是正确的顺序。
ogden-act	69a8d49f61865050	这是一种行为。
ogden-care	825a66d83befba7f	当心。
ogden-hope	1fb57679c7fa19f2	我抱有希望。
ogden-strong	b022646a7d8f2703	它很强。
ogden-join	598309b5c26d6fb2	我可以和他一起。
ogden-yesterday	a6e7d95ab09365b9	我昨天在这里。
ogden-amount	e5fbd927e4dcec9b	数量很少。
ogden-attention	ca92b7382241831c	这件事需要注意。
ogden-daughter	c234f272ca85fd4f	这个女人有个女儿。
ogden-current	03935102e9b0786d	这是当前的新闻。
ogden-knowledge	f692fdda74476dcf	知识很重要。
ogden-round	06c3dedb6717ff7a	它是圆的。
ogden-degree	b48b1208a49485e4	这在一定程度上是真的。
ogden-physical	33edd82d03f25a39	这与身体有关。
ogden-smile	cda75418112db702	这是一个笑容。
ogden-weight	5e6bff4185f414e9	重量很重要。
ogden-edge	2974e280f1ff4f1f	这是一条边。
ogden-trouble	7bebec2d37d674e2	这是个麻烦。
ogden-beautiful	3447767c60bd70f7	它很美。
ogden-earth	f0aa326a8a205eba	地球是圆的。
ogden-side	33f7ffd90da56fed	这是另一面。
ogden-brain	1ab196c0238a270b	大脑是身体的一部分。
ogden-drink	5204c55e57ea2088	这是一种饮料。
ogden-roll	36155593a7e79bbc	这是一卷纸。
ogden-separate	4faf77bdea960f01	它是分开的。
ogden-lift	8a93a82a5a47a4a6	我能把它举起来。
ogden-wave	a04404a5d68ee8a9	这是一道波浪。
ogden-lip	b983e29afbea547f	这是我的下嘴唇。
ogden-rain	1c88067b191fd776	我能看见雨。
ogden-neck	bb94e172e88f8608	这是我的脖子。
ogden-equal	9c8c5281613e118b	他和我是平等的。
ogden-paint	1630a7bf35d09061	这种油漆是蓝色的。
ogden-breath	9d2ef958accc6490	我吸一口气。
ogden-noise	af6f361c6303b4ad	这是噪音。
ogden-nose	796149c71f47a668	这是我的鼻子。
ogden-roof	87f98829caca1c3c	这是屋顶。
ogden-solid	2bc7715c8a31ac0f	这是一种固体。
ogden-sharp	3306ee1cd32fb026	这把刀很锋利。
ogden-dear	03169494ee7fbf8a	她对我来说很珍贵。
ogden-opposite	315631f26ce1eb53	它与这个正好相反。
ogden-approval	01cfd4824e2c5c32	我赞成这件事。
ogden-potato	43e6c54c972b38eb	这是一个土豆。
ogden-dust	15a873821fe2ceb7	我能看见灰尘。
ogden-fixed	b4a4df7c05edd2f4	它是固定的。
ogden-prose	2ce4479a9fee58f6	这是散文。
ogden-steam	61368db8f4f463c9	我能看见蒸汽。
ogden-throat	e9ace8bec6049307	这是我的喉咙。
ogden-moon	0b7ebfb7df96d2d5	月亮很明亮。
ogden-curtain	98fc058e79b4b1af	这块窗帘是蓝色的。
ogden-stomach	40a83a4ca35410cc	这是我的胃。
ogden-bath	e7ae686b7af4d121	我洗澡。
ogden-tongue	fb2697eb13e91bdd	这是我的舌头。
ogden-chin	6050badab5892cf9	这是我的下巴。
ogden-waiting	40f859e5e3710d41	我在这里等候。
ogden-work	4a37c39383b5bca2	我做这项工作。
ogden-business	eb35d552e90a92f8	这是一家家族企业。
ogden-power	b685700e5743c65e	我需要更大的力量。
ogden-water	01b4ccb1bed0b5bb	我需要一些水。
ogden-money	66162342289ed066	我需要一些钱。
ogden-development	a49983c183f94d73	发展需要时间。
ogden-authority	ec745d1c181ec587	他在这里有权力。
ogden-society	ed98e1efab32d7e5	社会会发生变化。
ogden-art	856153d326ff4d04	我喜欢艺术。
ogden-education	1c15bf310ecb5575	教育很重要。
ogden-air	a9bb0474ff3585f3	我们需要空气。
ogden-love	f55788953369e6e1	爱很重要。
ogden-music	00be71bb2a577146	我喜欢音乐。
ogden-experience	310d283cde0d4480	我有经验。
ogden-language	f8d34365265f7521	我懂这门语言。
ogden-land	bc44d3190b1cd24c	我能看见陆地。
ogden-support	f20ac54d8669b31b	我需要支持。
ogden-space	afd9d56f594419c0	我们需要更多空间。
ogden-oil	6b7aa989b4d40a9f	这种食物里有油。
ogden-news	95ac49841a470333	这是个好消息。
ogden-hair	e02a1cebdb11b648	她的头发很长。
ogden-growth	3f7dcb78e4274f4f	成长需要时间。
ogden-behaviour	490a9d4b363bd1e0	她的表现很好。
ogden-science	05ce3b2d8bdfa361	我喜欢科学。
ogden-sex	151f1f6b32e14bfb	这张表格上有性别一栏。
ogden-direction	e7201edcd5cbe833	这是正确的方向。
ogden-peace	f2119715b2dc482c	我们都希望和平。
ogden-damage	ea54138305a65a67	我能看到损坏情况。
ogden-sleep	6535ea3ba4192848	我需要多睡一会儿。
ogden-insurance	f5f3d9fc75189f44	我买了保险。
ogden-transport	a2874b226cab637c	我们需要交通工具。
ogden-distance	ede719dd296f2483	距离很短。
ogden-danger	86ced993300b626a	这里有危险。
ogden-living	f4337663882fdc46	住在这里很轻松。
ogden-existence	6162fedc33435e98	我知道它的存在。
ogden-learning	67b9ce520edce5aa	学习需要时间。
ogden-respect	77ed8924e2977d26	我尊重她。
ogden-writing	10cbe1ab68ce005b	我喜欢写作。
ogden-birth	2ca4c2f65d81005a	出生是生命的开始。
ogden-hate	808dbe4c8ecf9c3b	仇恨会伤害人。
ogden-salt	a3bb9af797731408	这道菜需要加盐。
ogden-metal	3db40053c9c86010	这是金属制成的。
ogden-reading	6ccce406f5c03827	我喜欢阅读。
ogden-teaching	9067821c81e96a28	我喜欢教学。
ogden-sugar	e150ac085755b282	这杯茶需要加糖。
ogden-weather	ff7acbe37e36c4e1	天气很好。
ogden-pleasure	7501633facfa93e0	这是一件乐事。
ogden-coal	fe10ab1f93eee015	煤可以燃烧。
ogden-motion	da6f9d1a225bfe6b	它正在运动。
ogden-meat	feb39f680b3ab181	我吃肉。
ogden-milk	af4eca46f05ca455	我喝牛奶。
ogden-bread	28c5ffc1105063d6	我吃面包。
ogden-self	ceb52bf5522e0969	我认识真实的自己。
ogden-rice	89c1fdd780160543	我吃米饭。
ogden-fiction	c1d33341bb000bcf	我喜欢小说。
ogden-disgust	4f2299e581671307	我感到厌恶。
ogden-digestion	b85f27c645fabe23	这有助于消化。
ogden-hanging	d341c43f98f82e5e	挂画很容易。
ogden-knee	ef1227d8dcc25ef8	这是我的膝盖。
ogden-purpose	1a673626acd99bd3	这就是它的用途。
ogden-size	548db605cfb1c81e	这个尺寸正合适。
ogden-doubt	2b4a9256696597a2	我有些怀疑。
ogden-destruction	0193ec697ea6f970	战争会带来破坏。
