# schema=1
authoring_method	direct-llm-correction
b1-lay	30e8ff353e9ed807	请把书放在桌上。
b1-nor	7f9a39c5c6f93a42	他没有打电话，也没有写信。
b1-environmental	1e75e692da449061	污染是一个环境问题。
b1-suffer	69f26cb78603ba5e	许多人深受压力困扰。
b1-previous	07987f461597a71e	这是之前的计划。
b1-responsibility	2dbf709d99dcfb76	你必须为这个决定负责。
b1-total	f3669466eec590bd	总费用太高了。
b1-element	82fe9dab9469a2d6	这个要素对计划很重要。
b1-duty	cd00b7914e907150	帮助别人是我的职责。
b1-tend	539f2e0e62feb27e	人们往往会担心变化。
b1-truth	fd4db3daa5d5e9c4	请告诉我真相。
b1-treat	055ee9b808054c8f	在那家餐厅吃饭是一种特别的享受。
b1-throughout	a6445927f7b5fe95	这家商店全年营业。
b1-generally	c383abbff5819a13	人们普遍赞同这个计划。
b1-hang	70812f1b4215daa8	请把这幅画挂在墙上。
b1-encourage	3ccc0f543f3984f7	好老师会鼓励学生提问。
b1-religious	16d2560d4077a357	这是一场宗教活动。
b1-reflect	868b962e48fc4ddf	水能够反射光线。
b1-admit	e019e8208c2d7e81	我承认自己错了。
b1-unless	fcb8239b23266573	除非下雨，否则我们会去。
b1-client	5c98605ad2514610	她正在会见一位新客户。
b1-obviously	7836a532067ae105	答案显然是错的。
b1-basic	c26fda8b2cd642df	这张表格要求填写基本信息。
b1-intend	e6bf410211b4e5a6	我打算待一周。
b1-impact	215b5bd271cbd16e	这个决定将产生重大影响。
b1-attitude	e7bb40745dca850e	积极的态度会有所帮助。
b1-aware	05795915c2ebb6de	你意识到这个风险了吗？
b1-weapon	8b888b4cff54e933	警方发现了一件危险武器。
b1-cultural	0298a91f6546454e	这座城市每年都会举办文化活动。
b1-employment	9087a578ae5dc794	她在城里找到了工作。
b1-technique	f9a980a07abc2df0	这种技巧能节省时间。
b1-medium	2acd226e11609719	这是一种有用的媒介。
b1-politics	9271d8a0393263ed	他在大学学习政治。
b1-version	5548f85de897f49d	我下载了最新版本。
b1-candidate	6cc86df74dc84a21	她是这个职位的有力候选人。
b1-press	337c99b842314ab7	这条消息出现在当地报刊上。
b1-surface	115253c698c5a55a	桌面很光滑。
b1-worth	7ba4c01e542d8aaa	这本书值这个价。
