# schema=1
authoring_method	direct-llm-reviewed
ogden-answer	72ea7937c2133b5e	这是一个答案。
ogden-growth	a27d9940d280986d	我了解成长。
ogden-left	1fa4252a45d6e0f5	它在左边。
ogden-disease	a4aa75b078ff8054	这是一种疾病。
ogden-behaviour	f3ec675387833f6d	我了解行为。
ogden-attack	ec5509e661a83d30	这是一次攻击。
ogden-science	a66d6ed0bfcd3d2a	我了解科学。
ogden-feeling	7e6b2aa0aad968d1	我有一种感觉。
ogden-physical	33edd82d03f25a39	这是身体上的。
ogden-horse	ea9147ced4d1d45d	这是一匹马。
ogden-normal	d1579fcec6da3e9f	这很正常。
ogden-sex	b5258f0261d233b8	我了解性别。
ogden-army	bc07d861089b724b	这是一支军队。
ogden-glass	0fc4313baceddcc2	这是一个玻璃杯。
ogden-sister	6031b57103f61cea	这是一位姐妹。
ogden-crime	71092064e3616e3c	这是一起犯罪。
ogden-argument	098edee2f62abe99	这是一场争论。
ogden-gun	93b909d54ab3f2d0	这是一把枪。
ogden-blue	3d8d8d1faa0fc56e	它是蓝色的。
ogden-leg	503679ff52a3fa6a	这是一条腿。
ogden-song	9c6f8557dbdd0fb1	这是一首歌。
ogden-dark	aa8ed6e2450fd44e	这里很暗。
ogden-discussion	5ad14c9607ec032e	这是一场讨论。
ogden-laugh	0f097781d9f6c7f9	这是一阵笑声。
ogden-sun	d5a32d0f00d4a63c	这就是太阳。
ogden-river	f983483ef7066d48	这是一条河。
ogden-profit	d9a2e23ff7c10098	这是一笔利润。
ogden-cold	43f457ee875be974	天气很冷。
ogden-stone	c75ee7e414f9532d	这是一块石头。
ogden-measure	fe1304979c74e726	这是一个衡量标准。
ogden-green	83d88c00b97c7f0f	它是绿色的。
ogden-division	03716b6e47ca6353	这是一次划分。
ogden-memory	d679a6f9ed21336b	这是一段记忆。
ogden-card	264b2e942cc370dc	这是一张卡片。
ogden-smile	cda75418112db702	这是一个微笑。
ogden-seat	df98b004c839f161	这是一个座位。
ogden-expert	a02188170e4649d8	这是一位专家。
ogden-spring	bd2870fcf516d073	我在春天去。
ogden-direction	c05806fceea78233	我了解方向。
ogden-ball	4703f14c5f71d1e5	这是一个球。
ogden-peace	43db45f7186fd23e	我了解和平。
ogden-pain	365f18570368d8a1	这是疼痛。
ogden-shake	7b9e27fd0f00d16d	我能摇动它。
ogden-fly	b1d50ece824a8e31	这是一只苍蝇。
ogden-fish	de4b1c113c45a378	这是一条鱼。
ogden-camera	d2141aeee03da977	这是一台照相机。
ogden-weight	06a438048b437a6e	这是它的重量。
ogden-library	28828d3c46314cf7	我去图书馆。
ogden-deep	8b195bbedea7f588	它很深。
ogden-edge	2974e280f1ff4f1f	这是一个边缘。
ogden-trouble	b3e6fac1070fd3bf	这是一个麻烦。
ogden-island	c96305142b16e81b	这是一座岛。
ogden-fear	acef91ac3c02cf40	这是一种恐惧。
ogden-middle	d73d2db2329c160d	这是中间位置。
ogden-beautiful	3447767c60bd70f7	它很美丽。
ogden-competition	8e42c27b482df4c7	这是一场竞争。
ogden-complete	7109d293246858d3	它是完整的。
ogden-bag	c28b69ed580228cc	这是一个袋子。
ogden-heat	697ec0f639d945c7	这是热量。
ogden-payment	b91770e844148b6c	这是一笔付款。
ogden-mouth	46a8f55ffaa9bd33	这是一张嘴。
ogden-skin	04207c76e2f2a6b1	这是皮肤。
ogden-owner	cd7d47a6b3577c79	这是一位所有者。
ogden-earth	fcc8f81e0efc64a8	这是一个地球仪。
ogden-finger	38852efe1acd0109	这是一根手指。
ogden-responsible	4038b2cca9094208	我负有责任。
ogden-safe	f07b8d239e17a3cd	这是一个保险箱。
ogden-opinion	906ac9f2ac51a65a	这是一个意见。
ogden-bird	db41878e433e27bb	这是一只鸟。
ogden-damage	c9b48bc1d31116eb	我了解损害。
ogden-tomorrow	9414d6741ced6f41	我明天去。
ogden-exchange	9ae9441760d33fc7	这是一次交换。
ogden-front	33832950006a2d77	这是前面。
ogden-wind	a8e1231bda048f5c	这就是风。
ogden-key	84e0fc3ab7f2d077	这是一把钥匙。
ogden-match	ce0e0e905a0b8489	这是一场比赛。
ogden-judge	1edc2d8ede374f07	这是一位法官。
