# schema=1
authoring_method	direct-llm-reviewed
a1-our	99aa2acd3800891e	我们的书在这里。
a1-want	2cb168e377b53717	我想要它。
a1-should	8ecbb6fdc00a2eaf	我应该走。
a1-find	1b0c164c92db6b79	我能找到它。
a1-many	98eb9fa9b8012433	我有很多书。
a1-tell	f629f2363bd6a9c9	我可以把这件事告诉他。
a1-yeah	60603dd8a042fce2	我说“是的”。
a1-must	a0e02055f6ac1691	我必须走。
a1-us	621e3cf5e12b0825	看着我们。
a1-child	cf7ae3bd0cdb3274	这是一个孩子。
a1-life	c69c7745133d534a	我了解生活。
a1-too	f8b312106eef39ae	这也很重要。
a1-own	51401b2731dc75fa	我拥有一本书。
a1-oh	505ea418ebfad5ca	我说“哦”。
a1-mean	e0b07784baf57d65	这很刻薄。
a1-become	f60e5c234f94e1a6	它会变成红色。
a1-call	21b0409398f18f7e	这是一通电话。
a1-world	8686151ace127caa	这是一个世界。
a1-leave	d80bcda29fa104ff	这是一次休假。
a1-try	7fd261406c048899	这是一次尝试。
a1-ask	cc9a7e010d264631	我可以问他。
a1-feel	78d874e7529d3e6c	我能感觉到。
a1-never	887cfa39ee198596	我从不出去。
a1-something	6fd6ab996c0a03ff	我看见了某样东西。
a1-really	ae4a3302f03f66c8	它们确实相同。
a1-most	dc27808033d4f59f	大多数人都在这里。
a1-another	d6edd2997cc458cd	这是另一本书。
a1-however	594a95c5a00ccf83	我出去了，但你没有。
a1-show	d56987d1ec30cd4b	我可以把这个展示给他。
a1-area	77443060e1cf681b	这是一个区域。
a1-problem	af2396881c09cf97	这是一个问题。
a1-student	b69461166e987e43	这是一名学生。
a1-begin	c5c51a3cc6da6120	这可以开始了。
a1-party	925e728f7a0310b2	这是一场聚会。
a1-each	ca0c269dc0b3d51b	每个人都在这里。
a1-large	3964a706ec73415b	它很大。
a1-member	699957e12c5da848	这是一名成员。
a1-four	cc1010dc215b17ee	我有四本书。
a1-always	cba40f3a78e670e1	我总是出去。
a1-few	05896ff61fab2d0a	我看见几本书。
a1-follow	752de1d84d85837b	我可以跟随他。
a1-without	f7705431896fb163	没有你，我也可以去。
a1-local	8b58a5fa211e7a37	这是本地的。
a1-during	5523970931ea12fa	我白天都在这里。
a1-bring	54d0a69503b9a514	我可以把它带来。
a1-hear	0383853f956533c0	我能听见。
a1-next	9497270cfd1a9f62	我第二天再去。
a1-five	53ee55bb77dd11c6	我有五本书。
a1-live	a69e93073e3b234c	这是现场直播。
a1-write	cbcf0a998ef01ea1	我会写字。
a1-believe	42f2eb4c40e1181f	我可以相信它。
a1-today	ce3f6badea348c43	我今天去。
a1-happen	77637bd1a0bc804d	这可能会发生。
a1-home	a9b4a7a780935777	这是一个家。
a1-million	0a36470e1f2fc513	这是一百万。
a1-information	38e2729591269d96	我了解这些信息。
a1-pay	c1cd2613365df540	我可以付钱给他。
a1-both	aabededaefceaf9a	两本书都在这里。
a1-often	6cbcf013d48d0a9c	我经常出去。
a1-away	17db87d5205fac96	我离开了。
a1-lot	1a5e25ff339c7147	这是一大批。
a1-study	cd5b512b6995861d	这是一项研究。
a1-job	0f1f66339b9c818b	这是一份工作。
a1-include	560ab365218cb96c	我可以把它包括进去。
a1-car	a7d00df819fec7dc	这是一辆汽车。
a1-nothing	aba4371f71278aac	我什么也没看见。
a1-meet	65071b426302b9f1	你可以来见我。
a1-around	1ea4b999fc9710e6	我绕着桌子走。
a1-result	aaa4c9ed0ab5e7e9	这是一个结果。
a1-sit	22554c204a6b9f38	我能坐下。
a1-until	79773013d41fecd4	我在这里待到晚上。
a1-game	13a66ad3083bd340	这是一个游戏。
a1-stand	6792c590a57eeede	这是一个摊位。
a1-report	f020076e0c4a4c18	这是一份报告。
a1-carry	7366426d7eeef0e0	我能搬动它。
a1-lose	70c29a336a6fdfcf	我可能会弄丢它。
a1-city	c5170ad584b7911f	这是一座城市。
a1-six	2b51b75ea84bda2e	我有六本书。
a1-once	dda838a2bdcd851f	我只去一次。
a1-learn	efd56a178cc0bc06	我可以学习。
a1-real	715dc3e8fe75536e	这是真的。
a1-team	080d374186967c12	这支队伍在这里。
a1-best	2406ae7607b56d6e	这是最好的一本书。
a1-anything	50babde150009e67	你看见什么了吗？
a1-understand	16ea9b75ae0018f6	我能理解。
a1-read	433ab13fd32cc854	我会阅读。
a1-period	9b4f9ffae0c96ee0	这是一段时期。
a1-parent	089dc8de447ddd57	他是一位家长。
a1-police	614b5f0e3dd1e5b0	警察在这里。
a1-add	7f8d4ea9602a8ced	我可以添加它。
a1-create	bc6159cb2317f150	我可以创造它。
a1-probably	4e714b9412dce430	它们大概相同。
a1-action	caa805d0305cc96a	这是一个行动。
a1-cost	6c7879e25dfdef05	这就是成本。
a1-spend	a9245a026b436d2b	我把钱花在书上。
a1-health	0dc91c6db882a84a	我了解健康。
a1-remember	208aaf8a2fec60a1	我能记住它。
a1-course	27971e8bd43daf5d	这是一门课程。
a1-sure	cf063ec283dc155b	我很确定。
a1-buy	464a03914c715c6c	我能买下它。
a1-grow	e9d386cc8062858c	它可以生长。
a1-type	7ad84a0c84df97cc	这是一种书。
a1-subject	364828b40bef3006	这是一门科目。
a1-moment	d950e1c62451d4ba	这是片刻时间。
a1-win	568c74432b31b486	我能赢。
a1-teacher	331dc5570132ff54	这是一位教师。
a1-decide	b47ff718b760b648	我能作出决定。
a1-main	96df261551286370	这是主要部分。
a1-maybe	305558bb4e19a057	也许它们相同。
a1-class	7eed7dfdb57b9346	这是一个班级。
a1-everything	d6585ddfcc8ece6a	我看见了一切。
a1-describe	3ecec8a604499d6f	我能描述它。
a1-wait	d4ee8437af9e6e7d	我在这里等。
a1-agree	1cacf051ba8ce670	我可以同意。
a1-die	7f694bc5dae766ce	我可能会死。
a1-bank	589e414c697e6acc	这是一家银行。
a1-century	15c940f54984cc46	这是一个世纪。
a1-build	e545827374163a14	我能建造它。
a1-section	b930a47a49eea817	这是一个区段。
a1-stay	6d605387b03d0cc9	这是一次停留。
a1-activity	c1ff055fd9890f73	这是一项活动。
a1-hundred	e30f3568a2fc893f	这是一百。
a1-plan	d691d45cd1fcd5db	这是一个计划。
a1-college	0af03dfc06d06ad1	这是一所学院。
a1-someone	69e46f832336fc4f	我看见了某个人。
a1-behind	a4ab39427860f9b9	我在你身后。
a1-return	abc13009565eda3c	这是一次返回。
a1-draw	201dfddf8b33a16e	我能画画。
a1-difficult	35133786b2863b2c	这很困难。
a1-else	d8100163c2958f8e	这是其他东西。
a1-sell	f76829440801042c	我可以卖掉它。
a1-sometimes	ea47c86416511f82	我有时出去。
a1-product	1b4a84f210680ecf	这是一个产品。
a1-better	7526232b85a2b0fc	这更好。
a1-practice	f5122008440448fb	我了解实践。
a1-third	f7583a99c53683f1	这是第三个。
a1-wife	2879e4637136ab41	这是一位妻子。
a1-ten	356b3831363c48bf	我有十本书。
a1-half	777694777e923aa9	这是一半。
a1-explain	7c79963851823bc5	我能解释它。
a1-lie	e78d2dff172818f4	这是一个谎言。
a1-drive	c9d585341fb8249b	我会驾驶它。
a1-club	4ec565bde0a66572	这是一个俱乐部。
a1-break	7f514717af9998f7	这是一次休息。
a1-difference	ce76944b91d82fdd	我了解差异。
a1-thank	dcdbafbe111001ca	我可以感谢他。
a1-easy	6c5452e5f0a034c0	这很容易。
a1-situation	6676a4df9c149dee	这是一种情况。
a1-model	b989d7d642a1f6ad	这是一个模型。
a1-project	5bd124fd69bd1b45	这是一个项目。
a1-player	871ed676c5caa275	这是一名选手。
a1-wear	671b1f9effbf7bf2	我穿着它。
a1-usually	6acf4a6a3056d559	我通常出去。
a1-everyone	7c7aba05c2962510	每个人都在这里。
a1-university	2101253092cbee76	这是一所大学。
a1-eat	27d637cd1391de8a	我能吃。
a1-similar	559660eac9fd59c5	它们很相似。
a1-worker	9958a986693ab82c	这是一名工人。
a1-teach	4c0fe35179bc4931	我能教他。
a1-pound	289f7f115f7e7670	这是一磅。
a1-piece	b5f2ab5b072553b8	这是一块。
a1-doctor	766171dd0cd3899b	这是一位医生。
a1-date	0ad222654b49bdca	这是一个日期。
a1-personal	6361f6d397f15e62	这是私人的。
a1-seven	7c8fcd7ee05173a1	我有七本书。
a1-movie	686e166adee1a2ea	这是一部电影。
a1-eight	29661dda646593c3	我有八本书。
a1-computer	862f7c6166f12f59	这是一台电脑。
a1-film	f7ae97114a7ba3ac	这是一部影片。
a1-choose	eb136d070aab875f	我可以选择。
a1-twenty	d13f1a9c51d84f01	我有二十本书。
a1-listen	f52e74c06ed83281	我会听。
a1-soon	372fe2e43b3fdcdd	我很快就去。
a1-culture	3a5a93e9084f870a	我了解文化。
a1-share	ca10d21df6a2f3c3	这是一份份额。
a1-thousand	e4c0a56502a6ede7	这是一千。
a1-husband	c9cbe6a352b25663	这是一位丈夫。
a1-close	1119502f367c8b83	我能把它关上。
a1-shop	d2c74c6fed1b4622	这是一家商店。
a1-anyone	3dc76da035760c2f	你看见任何人了吗？
a1-fine	09bfe91154ed665e	这是一笔罚款。
a1-discuss	d1c7d372933dc37e	我可以讨论这件事。
a1-sport	7d24e19bb48465c8	这是一项运动。
a1-quickly	56c59da05c5d8904	我很快就把它做完了。
a1-enjoy	61719478890513fd	我能享受它。
a1-fill	2c7a084c9cc229bb	我能把它装满。
a1-march	adc4dcc1d3e0755f	现在是三月。
a1-introduce	9956adc20e9467d7	我可以介绍它。
a1-success	0968ef7f79d89b29	我了解成功。
a1-arrive	88a4994eb3bce6d9	我能到达那里。
a1-hot	a30a395db98d2fdf	天气很热。
a1-capital	1f1d61fb1c324976	这是一座首都。
a1-tv	e2fea4cac0e5617b	我看电视。
a1-article	7ce179b34465a0b2	这是一篇文章。
a1-hotel	0110cbdc037af818	这是一家旅馆。
a1-above	549202cd2b96f982	书在盒子上方。
a1-village	0cfea716bc0deace	这是一个村庄。
a1-artist	960749f0cf14ad11	这是一位艺术家。
a1-nine	2937a1d356ff7156	我有九本书。
a1-career	d7db3ffa79f84df0	这是一项事业。
a1-nice	afd688f8d46b2555	这很不错。
a1-modern	0b347bb0d40b2663	这是现代的。
a1-compare	50633c8e48df6f2d	我能比较它们。
a1-prepare	c11684674eabc15d	我能做好准备。
a1-final	5bb754733ba7d016	这是期末考试。
a1-television	1b5ad988936b0ebe	这是一台电视机。
a1-pretty	a7a555672b1dc982	它很漂亮。
a1-everybody	0c47da70c822ac78	每个人都在这里。
a1-skill	e523ab03990645c5	这是一项技能。
a1-message	6edb542931734c17	这是一条消息。
a1-forget	8211d5badc1fbecf	我可能会忘记。
a1-ok	4f9b0a354a9fa98c	这没问题。
a1-miss	22ed87bbf31398ee	这是一次错过。
a1-bill	a8fbf18e2740455d	这是一张账单。
a1-finish	4973388c1ec83467	这是一个结局。
a1-park	e695e5cd20f9fee6	这是一个公园。
a1-check	3ffef657d79c05c6	这是一次检查。
a1-title	f73432bdea8d8614	这是一个标题。
a1-guess	bb20e68486e7d7c5	这是一个猜测。
a1-visit	a225edf94d67e2eb	这是一次拜访。
a1-sorry	3d2bc689dc4e7457	我很抱歉。
a1-customer	35a4120000abb0ee	这是一位顾客。
a1-post	c1160479d1db6be0	这是一根柱子。
a1-improve	dbdf92d1c47e21ef	这可以得到改善。
a1-radio	0ecde377ff87bcc3	这是一台收音机。
a1-imagine	d848c833b6589d40	我能想象它。
a1-tonight	c0a243f970eee28f	我今晚去。
a1-yourself	99348e91388b0b50	你能看见自己。
a1-popular	e60195ab385208c1	这很受欢迎。
a1-interview	8620f8c6b5cb9505	这是一场面试。
a1-chair	41b64a7a9c325715	这是一把椅子。
a1-holiday	16b877aa3ac0daeb	这是一个假期。
a1-advice	222d536c663481b0	我了解这项建议。
a1-trip	9d4406a60709aa1b	我去旅行。
a1-adult	8bcbbf6ccfa480f0	这是一位成年人。
a1-writer	ae4b8b840fa37cc7	这是一位作家。
a1-useful	d0f32453fe8e1c00	这很有用。
a1-somebody	f1734e230fa19cff	有人在这里。
a1-magazine	92a67cba0812e884	这是一本杂志。
a1-text	d7f92118122beea7	这是一段文本。
a1-thirty	3833eed9959589f2	我有三十本书。
a1-sing	8130f8dee0dd9749	我会唱歌。
a1-address	c409b4004414443c	这是一个地址。
a1-object	f0069286d49a0785	这是一个物体。
a1-interesting	0fd669dc52767d10	这很有趣。
a1-fifty	dc39b6aadb01c864	我有五十本书。
a1-partner	c76eb2e64da3f540	这是一位搭档。
a1-positive	514951b708d13eaf	这是积极的。
a1-kitchen	43ea2823c2c960a6	这是一间厨房。
a1-painting	830807eac4971c8a	这是一幅画。
a1-scientist	510ac4ca4f8173dc	这是一位科学家。
a1-newspaper	fc1cc28823b6da73	这是一份报纸。
a1-rich	9b7a28dcd4099072	我很富有。
a1-dinner	201a3b2666a9b4aa	这是一顿晚餐。
a1-extra	ebf677ada48d6d9a	这是一个额外项目。
a1-travel	d8568824862db0a2	这是一次旅行。
a1-quarter	d2c752275d0ffdd2	这是四分之一。
a1-born	fad34e4043023279	一个男孩出生了。
a1-fast	b7a10df56c2dbce8	它很快。
a1-video	5a9cd946be80dd83	这是一段视频。
a1-mum	8cab9b19ca3f2841	她是一位妈妈。
a1-restaurant	6a9b6bb5878c1367	这是一家餐馆。
a1-interested	d4dde3f61b600d3d	我很感兴趣。
a1-below	ce3a99a2ed54762a	书在盒子下方。
a1-tea	b731a43911527765	这是茶。
a1-reader	5a9c99369df47053	这是一位读者。
a1-nobody	89a56d28544d7aff	这是一个无名小卒。
a1-perfect	ca7ee7e65b8bfa29	它很完美。
a1-conversation	ab0b7f169fbffc27	这是一段对话。
a1-sentence	e9eb0547d2cc339d	这是一个句子。
a1-weekend	843463cb05cff629	我周末去。
a1-beginning	60912aba5bbcdf3f	这是一个开始。
a1-museum	afc02aa53c1ddbca	这是一座博物馆。
a1-pair	a96f46ccfe31e752	这是一对。
a1-driver	caa31018e48e855c	这是一名司机。
a1-meaning	67ed23824c102827	这是一个含义。
a1-exercise	64dde42fdee47292	这是一项练习。
a1-august	5f629014ef36ea2d	现在是八月。
a1-apartment	9660cb26e87dc20e	这是一套公寓。
a1-ride	2afbde60ef01dbb0	这是一次骑行。
a1-dad	2eb9c7bc8e2e2de1	这是一位爸爸。
a1-clothes	e13ef909e8130830	这些是衣服。
a1-lesson	f1227cdc9cdde8b2	这是一节课。
a1-telephone	765fa58246b41a7a	这是一部电话。
a1-photo	5aed533e603ca5c2	这是一张照片。
a1-farmer	cf312dd30d51a983	这是一位农民。
a1-forty	540f919fe8eb7b16	我有四十本书。
a1-visitor	4eb62c5f098a2570	这是一位参观者。
a1-prefer	21d8b1dcec488b60	我更喜欢这个。
a1-coffee	c8d06af1105c59c8	我了解咖啡。
a1-repeat	1dfa0cbd695917af	这是一次重复。
a1-bus	59e8fded1c8c2fa4	这是一辆公共汽车。
a1-afraid	9e2ccef1f37168bd	我很害怕。
a1-wonderful	8e8ec068e72a47c8	这太精彩了。
a1-twice	87bfab65effede10	我去两次。
a1-traffic	dff9736d10e22bbb	我了解交通。
a1-football	5eb5c5f42a65a179	这是一个足球。
a1-hey	92b872dd0a6791f9	我说“嘿”。
a1-mistake	eefa7e650d2af116	这是一个错误。
a1-description	c996820eb203b240	这是一段描述。
a1-twelve	7bdf12af6bcbcfe9	我有十二本书。
a1-cool	3cc730ee83b6cb95	天气很凉爽。
a1-dangerous	eabea17cf49e1592	这很危险。
a1-famous	578f6aa6f22069e9	这很有名。
a1-internet	6063c5196763cd7d	我使用互联网。
a1-negative	e68e9e6e6c265f7b	这是负面的。
a1-classroom	7171ab7452c0e7db	这是一间教室。
a1-photograph	44ef7fc058fcc2f6	这是一张照片。
a1-actor	9ccfbd0c230e6f37	这是一位男演员。
a1-chicken	ac5f31675d7b4aa7	这是一只鸡。
a1-fourth	f9d61cd4b2e845ce	这是第四个。
a1-welcome	eb6b69c5291ce7f8	不客气。
a1-pool	13d870796fbb941c	这是一个水池。
a1-climb	3b141752f94c7a1f	我会攀爬。
a1-bedroom	092eff6b132bdc6e	这是一间卧室。
a1-expensive	24ef185c31bb2c69	这很昂贵。
a1-correct	573cbc389e6670a8	这是正确的。
a1-lunch	4eeef9e8e856ef8a	这是一顿午餐。
a1-nurse	e7a16d183edd79dd	这是一位护士。
a1-sixty	af7e363964dc713f	我有六十本书。
a1-desk	f7e07d840c8645e9	这是一张书桌。
a1-dance	fe55ced2b28b597f	这是一支舞。
a1-fifteen	c8badd0e31f4345d	我有十五本书。
a1-sick	7a9b0de121177126	我生病了。
a1-busy	9ca56be7016fc113	我很忙。
a1-wake	07388885804865de	我能叫醒他。
a1-airport	307283372b5a45bd	这是一座机场。
a1-funny	ac7ac580cab7e13e	这很好笑。
a1-topic	e3b153d56e54989f	这是一个主题。
a1-fun	ec7cec96328951bb	我了解乐趣。
a1-beach	041de1b6feaadd03	这是一片海滩。
a1-beer	6acf200e26834b1b	这是啤酒。
a1-nineteen	56b4cf8b6651a37e	我有十九本书。
a1-pepper	9f17806875bc14ba	这是一颗辣椒。
a1-terrible	7f168d0079d28c9b	这太糟糕了。
a1-vegetable	4054cadbbfb4795b	这是一种蔬菜。
a1-dish	b8cb93a73d972cca	这是一个盘子。
a1-eighty	6e806d536c07fe14	我有八十本书。
a1-ninety	9d3166aa09c9cbf7	我有九十本书。
a1-diet	628c19a70cd85d5c	这是一种饮食方式。
a1-cream	50671404757d150c	这是一份奶油。
a1-breakfast	c37e64abd1842699	这是一顿早餐。
a1-hi	8704cd30fd7bd412	我说“嗨”。
a1-phrase	3dcf088b99476ed5	这是一个短语。
a1-bike	8c5af68e164947bd	这是一辆自行车。
a1-hello	001f15b7c8688e9f	我说“你好”。
a1-friendly	acf87f044dd479c1	我很友好。
a1-autumn	b208aec9381d88a2	我在秋天去。
a1-seventy	8665bc42018b4e90	我有七十本书。
a1-jacket	31fa08a31a3eee88	这是一件夹克。
a1-amazing	4ce6a5071b7de15b	这太令人惊叹了。
a1-eleven	c720073c13e23ec1	我有十一本书。
a1-uncle	6e4e30842dee23a0	他是一位叔叔。
a1-juice	1c626a974a133d83	这是果汁。
