# schema=1
authoring_method	direct-llm-reviewed
b1-cultural	4367502caf577158	这是文化方面的。
b1-employment	e30689a6e35ccb26	我了解就业。
b1-technique	e48d03663a0cccfc	这是一种技巧。
b1-medium	d93835d4f585961f	这是一种媒介。
b1-politics	45e928d85525fed5	我了解政治。
b1-version	d8f68073254bf0e2	这是一个版本。
b1-candidate	19e2991dce6d5a4d	这是一名候选人。
b1-press	9e37e9c9092fc2ef	这是一台压榨机。
b1-surface	3f1699f8b3596f23	这是一个表面。
b1-worth	3da9dabb0ac9f1c9	它值得这样做。
b1-challenge	9a14403bac3f3121	这是一个挑战。
b1-stuff	b4f741c8df13f429	这是一些东西。
b1-access	23f11cab0b487da6	我了解访问方式。
b1-sexual	1dde7b989a754008	这是性方面的。
b1-effective	a0e8430b864bf001	这是有效的。
b1-western	aee9caefad1acfb9	这是西侧。
b1-marriage	e0a3186c15d1f4ba	这是一段婚姻。
b1-reference	faddbc51315cbcd5	这是一份参考资料。
b1-agent	b3d3659d5b34bb0b	这是一名代理人。
b1-ahead	508d0a3529efd0ad	它在前面。
b1-importance	4be58f060ba4af2a	我了解重要性。
b1-generation	0d382e7d783f0d44	这是一代人。
b1-commercial	437adc33393d3afc	这是商业性的。
b1-involved	899bfa6137a2b432	我参与了这件事。
b1-reality	3a63179bf1aa71b6	这就是现实。
b1-yard	acde664d583c2e86	这是一码。
b1-collection	23b43f31914cd9f2	这是一组收藏品。
b1-communication	c73644dff13129a4	我了解交流。
b1-supply	a58617f2426b9fcb	这是一批供应品。
b1-examine	6df778dd4c12e9ed	我可以检查它。
b1-consumer	527a758e9850b132	这是一位消费者。
b1-define	6e35d4104c5640b1	我可以定义它。
b1-influence	49fd4765f027bf51	这是一种影响力。
b1-victim	1c05c8969ca841e6	这是一名受害者。
b1-software	aff6126fc5ccb117	我了解软件。
b1-vote	d8a2e37051d9acb2	这是一张选票。
b1-eventually	70655f7b3ec24b23	最后，我出去了。
b1-occasion	7b597aa0c7d72139	这是一个场合。
b1-highly	3823c184809be3b5	这非常重要。
b1-lack	68a7beb6ed3536b5	这是一种缺乏。
b1-southern	43e77b7bd0f5cb37	这是南侧。
b1-global	aee2ce1911919f63	这是全球性的。
b1-slightly	5c356b723d0ef42c	这稍微有些重要。
b1-release	f193f2a83d62dbb5	这是一次发布。
b1-safety	8b9f36ac44c43d7a	我了解安全。
b1-hardly	a6b503d1959e85a2	我几乎看不见它。
b1-directly	daf171d73a33532a	我直接完成它。
b1-absolutely	9f0a3c14f4e7597a	这绝对重要。
b1-essential	1c30709339c9228e	这是必不可少的。
b1-confirm	1a136ba76588b4a4	我可以确认它。
b1-powerful	4bf85a687336e1ce	它很强大。
b1-file	f79337114a6438d4	这是一个文件。
b1-primary	0c75130a705467f4	这是主要原因。
b1-obvious	24f7c8cefd6e776d	这是显而易见的。
b1-length	15ac559529bca9b2	这是一个长度值。
b1-nuclear	48c096b42e62e9fe	这是核能。
b1-spirit	dfc65450f2691a29	这是一种精神。
b1-studio	fdef8dc41b490bdc	这是一间工作室。
b1-strength	b08e6f6f71cb81df	我了解力量。
b1-contact	6cd80e43ddd3a242	这是一次联系。
b1-battle	03b1a79ca743ae20	这是一场战役。
b1-spot	20114ba6510f16a6	这是一个污点。
b1-consequence	741e3d3b8e31c8d9	这是一个后果。
b1-practical	608572255ac75657	这是实用的。
b1-aim	12a0bc9f301cf6db	这是一个目标。
b1-due	3cfdcdc2f53d0234	它到期了。
b1-content	d59c432a026899c7	这是关于内容的。
b1-conclusion	006f58252eb74087	这是一个结论。
b1-guard	ecf667a36ef37605	这是一名守卫。
b1-deliver	7ebbf2233de363d3	我可以递送它。
b1-ignore	ce81850f164698c6	我可以忽略它。
b1-sight	40cfc6c9c953ea91	这是一处景象。
b1-sample	5771cc071af3bac0	这是一个样品。
b1-possibly	c96f284cf079e568	它们可能相同。
b1-tiny	2238cbb79ef94b28	它非常小。
b1-block	83bc957d14320449	这是一个街区。
b1-identity	ca3aebd89e77f172	这是一个身份。
b1-survive	0dc2bd3f85014662	我能活下来。
b1-promote	d63df31115e4da60	我可以促进它。
b1-package	e30dca80540dda76	这是一个包裹。
b1-folk	06f8c40857327b3e	我了解民众。
b1-concentrate	d7b1ea2ad9283c76	这是一份浓缩物。
b1-mainly	b7411096579434e7	这主要是给你的。
b1-border	3a8b8f28d9b8fa4c	这是一个边界。
b1-gather	15078acd6d401301	人们聚集在这里。
b1-plus	e407fa9600b346a9	一加一等于二。
b1-currently	e00819b728cb754c	我现在就在这里。
b1-spread	49503d1e6f504897	这是一次传播。
b1-entry	8d5df7640da5a77c	这是一个条目。
b1-murder	6f276dadb8ff5d37	这是一起谋杀案。
b1-editor	4c1d28edbac82577	这是一位编辑。
b1-commit	9e3918a8dc47378b	我可以作出承诺。
b1-technical	515f9ba636c31491	这是技术工作。
b1-youth	a07a1c86d5a7bd2d	我了解青年人。
b1-native	1975406f22ed2a63	这是一位本地人。
b1-row	6d336475601c838a	这是一排。
b1-fairly	d00d2133d6fda25a	它们相当接近。
b1-intelligence	dc642d93700091d5	我了解智力。
b1-category	09ad2fb900c7ae36	这是一个类别。
b1-exhibition	77402ef0077a4607	这是一场展览。
b1-equally	7e66433714f03415	它们一样大。
b1-location	c0559655fc37b7c7	这是一个位置。
b1-improvement	df6fe9756c3cfbdc	这是一项改进。
b1-northern	b9dba8655bb6e85d	这是北侧。
b1-combine	eb5fbf38c56b5db3	我可以把它们结合起来。
b1-contrast	85e2845d150a9658	这是一种对比。
b1-gentleman	51f428c77b4ab89f	这是一位绅士。
b1-proper	ef2ae0a10bf4c8d4	这是恰当的。
b1-remind	926c9e0087ae9cd9	我可以提醒他。
b1-academic	4248b93ff666ed47	这是学术工作。
b1-prince	42e1d1f4852a6f51	这是一位王子。
b1-historical	dfe9da04dc935f26	这是历史性的。
b1-unable	9f49289219e2dba5	我做不到。
b1-attract	8be712b9ba2985a3	我可以吸引他们。
b1-participate	f67c0dc900d84404	我可以参加。
b1-reject	5e7b1bed4b2c2883	这是一件次品。
b1-tape	48eaeef46cd7fe1e	这是一卷胶带。
b1-hire	171becb8d73f1e60	这是一次租用。
b1-familiar	59369e2f6369f329	我对此很熟悉。
b1-consist	007484e531086f6a	它可以由两个部分组成。
b1-unemployment	7201b1bd5541bb9b	我了解失业。
b1-eastern	2cc56f2aeb8c6f83	这是东侧。
b1-warn	12aa7da358f70bee	我可以警告他。
b1-surely	ad2533b2cbfed3c1	它们确实相同。
b1-intention	58fc7ee5238e8ae0	这是一个意图。
b1-definition	62bd8ba34d7e2779	这是一个定义。
b1-suitable	5f37a3c8bbf3dabd	这是合适的。
b1-immediate	a8fb633244bec1f9	这是立即发生的。
b1-divide	772a011eecc8e2fb	我可以把它分开。
b1-ought	333ca43a1da26d16	我应该走。
b1-literature	d8e3ba17dbd2a83c	这是文学。
b1-leading	92c42f2da0899bf4	这是领先的那个。
b1-appointment	c8fd836e3849bdab	这是一次约会。
b1-fuel	0f7501d4ca1ce8c8	我有一些燃料。
b1-expand	50c47dceade50110	我可以扩展它。
b1-mental	e090d82e96de0490	这是心理健康。
b1-educational	bdd52c7272059b89	这是教育工作。
b1-explore	0a6c638bdbee7db1	我可以探索。
b1-enemy	ea5fffd49f1025b0	这是一名敌人。
b1-scientific	16b0e9da4b9e08b1	这是科学工作。
b1-totally	67da58577488a1fe	它们完全相同。
b1-channel	5923fb2e6ef37dbb	这是一个频道。
b1-frequently	329c845ecd6a4195	我经常出去。
b1-seriously	7337b8472f57314f	我认真地完成它。
b1-properly	f2e66ce01346916f	我妥善地完成它。
b1-unlikely	dc439074be6408d3	这不太可能。
b1-necessarily	a463b86b44352cf6	它们未必相同。
b1-theme	0c629336ff36f9ed	这是一个主题。
b1-conclude	c123b1552bfe2b73	我可以作出结论。
b1-captain	94c531a7eeb6170a	这是一位船长。
b1-shift	f657f464b884239a	这是一次转变。
b1-locate	13aeb60a9090f80e	我能找到它的位置。
b1-escape	9ba6c19c530fbed1	这是一次逃脱。
b1-trend	4aa41a3b90bae997	这是一种趋势。
b1-investigate	f67eb2e873125b6d	我可以调查。
b1-afford	c2c93add79d565e6	我买得起它。
b1-beauty	60ce6f18e4306020	我了解美。
b1-emergency	7b0c13c14129d4d7	这是一起紧急情况。
b1-advise	9b36f006abfccbba	我可以劝告他。
b1-appreciate	7a63e00099191e0e	我能欣赏它。
b1-setting	51e646b7399313aa	这是一个环境。
b1-prepared	9f3cf386180326c3	我准备好了。
b1-flow	cf33dfe79697d596	这是一个流程。
b1-mix	ccecb209d93b495c	这是一种混合物。
b1-persuade	70903826484b0f2d	我可以说服他。
b1-politician	6f95f195c95d5fb0	这是一位政治人物。
b1-percentage	684841a9cab658ee	这是一个百分比。
b1-soil	d9e12457fee512bf	这是一种土壤。
b1-effectively	f8385e1b4962ebca	我有效地完成它。
b1-engineering	104c4b9ed948eefa	这是工程学。
b1-rare	2bb5e707a353de32	这很少见。
b1-host	c6249ba6ff045d28	这是一位主人。
b1-producer	329f2d518be04470	这是一位生产者。
b1-impression	123e38739c839393	这是一个印象。
b1-meanwhile	d3c889225417d9c8	与此同时发生了这件事。
b1-attach	770c55a7ade069a7	我可以把它附上。
b1-atmosphere	2c5eb1312a055250	这是一层大气。
b1-smart	8e9768bf5f046eb5	它很聪明。
b1-clause	e0b058098d8b48d5	这是一个从句。
b1-marketing	fa8ce01637d652d3	这是市场营销。
b1-pour	d2e9f679dc18dd54	这是一次倾倒。
b1-warning	bc6a4a1daf3d2002	这是一则警告。
b1-prisoner	a778098702999186	这是一名囚犯。
b1-champion	6e800714d08dea87	这是一位冠军。
b1-switch	5b0e73980ec0bd5a	这是一个开关。
b1-specifically	6c6011e8b313fb77	我特别说明这件事。
b1-signal	3f272d10e09ef0ea	这是一个信号。
b1-strongly	a09c063fdf8d6144	我有力地完成它。
b1-apart	da6b42b53d71cd71	这些盒子彼此分开。
b1-plenty	06bc0512a97c631c	我有很多。
b1-achievement	40bf322fbb56ec45	这是一项成就。
b1-proud	189403bf247319f2	我感到自豪。
b1-bomb	c3930a9fe000136e	这是一枚炸弹。
b1-originally	e4a52946bf9435c8	它最初来自这里。
b1-complaint	16bdd8d2a9920231	这是一项投诉。
b1-invest	7327f09bee7b9217	我可以投资。
b1-odd	88276898f1594521	这是奇数。
b1-typically	8a727e24c7073ce4	它们通常相同。
b1-similarly	31cc0ec43252c126	我用相似的方式完成它。
b1-talent	473cea555c80cb34	这是一种才能。
b1-perfectly	32f37db07360ac76	我完美地完成它。
b1-convince	46ed8cde44f501d5	我可以说服他。
b1-quote	bcc25a344f77202a	这是一段引文。
b1-accommodation	c7dd86188fb4f270	我了解住宿安排。
b1-campus	dbeb454eb9d2b741	这是一个校园。
b1-supporter	a3f6cebe79af42f2	这是一名支持者。
b1-guilty	0de55f7084b3b8be	我有罪。
b1-immigrant	cd3671f45fe228ee	这是一名移民。
b1-illegal	ae66c9b6d5540604	这是违法的。
b1-forever	f6758249b2102457	我会永远待在这里。
b1-naturally	226a375f58187786	我自然地完成它。
b1-prayer	4238e2f76078a093	这是一段祈祷。
b1-secondary	6814235bff0c9ca0	这是一所中学。
b1-childhood	ecbdc8728fb10ae0	我了解童年。
b1-currency	e8a1c52becd91d2b	这是一种货币。
b1-graduate	4af4bf5e79f1f87d	这是一名毕业生。
b1-emotion	590c74c6485a2a5b	这是一种情绪。
b1-rarely	c1c400b4a341dacb	我很少出去。
b1-bother	79aa1b47144f6e9e	我可能会打扰他。
b1-arrest	5e2471ec3aa25ea7	这是一次逮捕。
b1-analyse	d31f4c4ae22b7b63	我可以分析它。
b1-heavily	b261e2a370d43830	我费力地完成它。
b1-silent	4aff3556b976e6bd	这里很安静。
b1-assist	e89e156d6ce78669	这是一次助攻。
b1-port	cb8daf79d84c1853	这是一个港口。
b1-layer	2fcd591c7709baad	这是一层。
b1-string	2b0a7d0aadba2c31	这是一根绳子。
b1-poem	496c48798e887dbf	这是一首诗。
b1-glad	011edc3a12ab4106	我很高兴。
b1-alcohol	5116f7b3ce4c81c9	这是酒精。
b1-bend	95cc976cf2c8eaa9	我可以把它弯曲。
b1-unlike	1c26cdac769aa54d	这和那个不同。
b1-recommendation	1f92086be89ac6e3	这是一条建议。
b1-profession	289995d64c61d6c0	这是一种职业。
b1-album	97291bcf6fee329d	这是一本相册。
b1-cottage	3230c9129502c3bd	这是一间小屋。
b1-export	d495806af78d903a	这是一件出口商品。
b1-valuable	e0f4d7cf7783c90c	这很有价值。
b1-regularly	0412ae237ec70b9f	我定期出去。
b1-countryside	369d4d98a1a2174f	我了解乡村地区。
b1-symptom	aad61853e23875fb	这是一个症状。
b1-relative	6382c6ce401ae1ee	这是一位亲戚。
b1-breathe	aaad0b5b9872556f	我能呼吸。
b1-keen	a61b1f5cd12f343b	它很锋利。
b1-arrival	9762ec6d9ccd7fb3	这是一次到达。
b1-passion	d326f43985647d71	这是一种激情。
b1-volunteer	15844628462af5d0	这是一名志愿者。
b1-priest	e99a421def9b6db7	这是一位神父。
b1-retire	8ca1919077d1592a	我很快就可以退休。
b1-cap	a7c90df819f8a92e	这是一个盖子。
b1-competitive	817c0eeef022e90b	这是有竞争力的。
b1-presentation	0c1aad6f67624c26	这是一次演示。
b1-whenever	3ed15d01d3ad79c9	每当你去时，我也去。
b1-pale	6a4bfc9d4c55f30a	它的颜色很浅。
b1-laboratory	fd58ef4948e68a59	这是一间实验室。
b1-mood	15777dc87d17c30b	这是一种心情。
b1-mystery	c986a04be9c39b65	这是一个谜。
b1-poverty	5ca7982af30c1e4f	我了解贫困。
b1-spending	058e710f584c717c	我了解支出。
b1-custom	e3f467ce194897c3	这是一种习俗。
b1-entertainment	26e6252614c9dc76	我了解娱乐。
b1-approximately	3bed150582304756	它们大约相同。
b1-rent	0f56da42127471a3	这是一笔租金。
b1-qualification	e48d41bd5b579f03	我了解资格要求。
b1-bury	913780e4b6cf8194	我可以把它埋起来。
b1-pray	744ddda4a61c8cdd	我每天祈祷。
b1-mixture	27c20916c2ec4a42	这是一种混合物。
b1-entrance	a78db3ed8737e63a	这是一个入口。
b1-viewer	15eed8d3831765a0	这是一位观众。
b1-pan	d8a72064845ab93f	这是一口平底锅。
b1-historic	52a8e04f9e66f815	这是有历史意义的。
b1-successfully	63ff60c5963ed7f7	我成功地完成它。
b1-journal	f999333effef7c27	这是一本期刊。
b1-weigh	6593b43398b3a274	我可以给它称重。
b1-tube	2d25049009ec1f38	这是一根管子。
b1-quit	eadc935853c129c0	我可以停止使用它。
b1-honest	341aaf277b40cfc5	我很诚实。
b1-giant	e325358574cb527a	他是一位巨人。
b1-written	cf652dc259c817b9	这是书面工作。
b1-advanced	18896e1ff21b693c	这是先进的。
b1-shell	5c60fdff7cd174e8	这是一个贝壳。
b1-brand	0928d1f41810d3b5	这是一个品牌。
b1-mad	63e1b5885517b4dc	这太疯狂了。
b1-confident	10e4c57420d8d0b4	我很有信心。
b1-sink	0a4fc5653c3b1963	这是一个水槽。
b1-ingredient	4178d9afb267ed05	这是一种原料。
b1-poet	498466798e9d429a	这是一位诗人。
b1-label	c44767dc5423b384	这是一个标签。
b1-personally	874d673b0bfa7711	我亲自完成它。
b1-ceiling	83957091567a74af	这是天花板。
b1-fence	5551689edaa713f1	这是一道栅栏。
b1-portrait	6fef5d6775c95033	这是一幅肖像。
b1-ceremony	5dcbf8735ad2683e	这是一场典礼。
b1-impressive	9705963e6b91cd31	这令人印象深刻。
b1-remote	5ae5ec9af838c237	这是一个遥控器。
b1-qualify	9a010eb69fa386a5	我可以取得资格。
b1-princess	023caf91ceea1f37	这是一位公主。
b1-stranger	e3998452e7642b40	这是一名陌生人。
b1-summary	0377e8783fd58e66	这是一个摘要。
b1-related	12b5e8a9f1eab706	它与这件事相关。
b1-translate	43b4f7d5e8e6ec02	我可以翻译它。
b1-dirt	196d2c498c6f47ea	这是污垢。
b1-leisure	e6bb436f4214a685	这是关于休闲的。
b1-import	66557b9a18e21b13	这是一件进口商品。
b1-poetry	f74d1212a3f3150a	这是诗歌。
b1-innocent	cb75773b7c910652	我是清白的。
b1-gentle	1d462140eb75ef99	它很温和。
b1-favour	256f5920a597eea1	这是一个人情。
b1-silly	455ec9d50f6f2d1f	这很愚蠢。
b1-rugby	9794ceed6e03feee	这是橄榄球运动。
