# schema=1
authoring_method	direct-llm-reviewed
b2-accompany	c02435d220510a87	我可以陪伴他。
b2-minor	fe5209f29ea887d1	这是一名未成年人。
b2-constant	32d0ef7419f8f73a	这是一个常数。
b2-expense	641f780f090b1b7c	这是一笔费用。
b2-severe	cde492469061212e	情况很严重。
b2-cite	6028624f3e48f845	我可以引用它。
b2-vast	bdb166dfc0147e18	它十分广阔。
b2-oppose	5bc16efb834c5746	我可以表示反对。
b2-contemporary	d9d56a34bbf78232	这是一本当代作品。
b2-multiple	fbd2d4e0ff5739eb	我看见了多本书。
b2-afterwards	55c5a81113ea42b3	随后，我走了出去。
b2-core	654ed0e25a5bdd17	这是核心部分。
b2-rush	318c7bc5d72d36a0	这是一阵匆忙。
b2-justify	c77b09d6ceb9d54c	我可以为此辩解。
b2-rapidly	944181c709c48f6b	我很快地完成了这件事。
b2-witness	aa058fed1688026b	这是一名证人。
b2-emphasize	f6ef15f59cbc949c	我可以强调这一点。
b2-permanent	9a27997cdfad4ce8	它是永久性的。
b2-massive	78928fb7864c28a0	它庞大而沉重。
b2-decline	4f3e0b4dea8074d8	这是一种衰退。
b2-cable	1143b13ed79e0a81	这是一根电缆。
b2-via	908f6475572a293b	我经由这个房间去那里。
b2-expose	4809527add7f4a60	我可以使它暴露出来。
b2-crucial	c7f6d70ad670a005	这至关重要。
b2-inner	215764eeacdecdb5	这是内部部分。
b2-permit	6a554eaeba82da13	这是一张许可证。
b2-fundamental	52de9db939d0520f	这是一项基本原理。
b2-cast	2d5cd9943050f44f	这是演员阵容。
b2-dominate	dee4aca7a6479cf7	我可以支配局面。
b2-lower	02ff2194ef7ad409	它的位置更低。
b2-licence	c856d2f114f5a2c3	这是一张执照。
b2-abandon	852fafa0dc5675bf	我可以放弃它。
b2-construct	e56e3011597a3727	我可以把它建造出来。
b2-fault	07f28ecaf5e8a3ca	这是一个过错。
b2-unknown	39f33565459199a4	它的情况尚不清楚。
b2-wrap	f77e9645a21a3aba	这是一件披肩。
b2-preparation	86769dcbbf2bf949	这是一项准备工作。
b2-interpret	91d4bbd2a3a8f20b	我可以解释它。
b2-spiritual	159f0f05d6217265	它关乎精神层面。
b2-dismiss	0c86d323a3b1b720	我可以让他们解散。
b2-suspect	9197734f747ead26	他是一名嫌疑人。
b2-scream	5ae7f4616ee612b1	这是一声尖叫。
b2-dramatic	5a1a027851460095	这很有戏剧性。
b2-universe	0663785bb8c41023	这是一个宇宙。
b2-alter	62aa06494e675a1f	我可以改变它。
b2-deeply	19294521dc30cd54	我深感抱歉。
b2-drag	9bfd4def96a9e3c8	这是一件累赘。
b2-possess	3fde4472fc08c2f4	我可以拥有它。
b2-agenda	64ae8c646f158b6e	这是会议议程。
b2-funding	0fc15af4908dd33b	我了解融资方面的情况。
b2-therapy	6893c7f20ec75d71	这是一种治疗方法。
b2-purchase	86d904313209b123	这是一次购买。
b2-visual	41df1b8fae392dca	这是视觉艺术。
b2-inch	20a24b7ca0a96ba8	这是一英寸。
b2-depth	8c2c3979b2b82335	这是一个深度值。
b2-saving	9f74831baaaff214	这是一笔存款。
b2-command	8d2c7dd24bec1a39	这是一道命令。
b2-calculate	18ac7b2cb92a3954	我可以进行计算。
b2-delivery	91b8e4e68d8315be	这是一次递送。
b2-resolve	d0b89f33fccdea3c	我可以作出决定。
b2-slide	11fe391c06e0bd25	这是一次滑行。
b2-opponent	a115aabd7d6717fb	这是一名对手。
b2-obligation	168e057721914c00	这是一项义务。
b2-transform	1b7142bd0a272354	我可以使它发生转变。
b2-efficient	39f31228eec62faf	它的效率很高。
b2-occasionally	41a5e7a0a6022439	我偶尔会外出。
b2-preserve	1624a17625d36714	我可以把它保存下来。
b2-load	0df702a50f2b5ed2	这是一份负荷。
b2-transition	794170dbbefae223	这是一次转变。
b2-deserve	9651da762ad88d24	这是我应得的。
b2-consistent	e9f2357f33c802d2	它前后一致。
b2-pose	c0e32679d1b04c0d	这是一个姿势。
b2-stream	d674a9e728e77ad6	这是一条溪流。
b2-reputation	afb2f74029fcb963	这是一种声誉。
b2-slight	b4a0e293e24036e3	这是一次轻慢。
b2-tale	25504af458681252	这是一个故事。
b2-convert	d12849d0c3d58ab7	这是一名皈依者。
b2-philosophy	d2765d0afb7fa043	这是一种人生哲学。
b2-submit	7085b14616edf4d4	我可以服从。
b2-urge	011d8a4fcb2b1145	这是一股冲动。
b2-creature	112763d565893905	这是一种生物。
b2-numerous	28786a2054c4e533	这里有许多书。
b2-initially	5a3830c7d7098353	最初，我走了出去。
b2-intense	abf5aa31ef4f5b68	这种感觉很强烈。
b2-inspire	da083b64a9f4d3e4	我可以鼓舞他。
b2-temporary	0b04e171cf99f613	它是暂时的。
b2-wealth	272fe2473ba73f03	我了解财富方面的知识。
b2-owe	3940475037d174b7	我欠他的。
b2-gradually	f2841a11217190a6	它正在逐渐发生变化。
b2-enhance	365b823c56d80d76	我可以提升它。
b2-evaluate	aba0fdc6cce4df35	我可以对它进行评估。
b2-monitor	dcc0637c2187ae7c	这是一台显示器。
b2-armed	8a6e11b9083b98b9	我带着武器。
b2-anger	21d5a7422759333a	这是愤怒。
b2-sensitive	c4aea78e2cd5c15a	它很敏感。
b2-holy	dd3d9142727bbac0	它是神圣的。
b2-honour	1cc53b7777f33766	这是一种荣誉。
b2-pure	877f3744624a6810	它很纯净。
b2-acceptable	8ecbfb641184e9d2	这是可以接受的。
b2-phenomenon	d7f48a0ade6eb06d	这是一种现象。
b2-rapid	96ce2de8db4fa33c	它变化得很快。
b2-frequency	b4599ee4a764f024	我知道这个频率。
b2-absolute	e9a935be99a00e09	这是绝对的。
b2-fellow	320eaddce92dcbce	他是个家伙。
b2-maximum	134be7db31b8eacc	这是最大值。
b2-register	5b76045fb3b0d979	这是一个寄存器。
b2-instance	e9cda459111c7cf9	这是一个实例。
b2-whisper	cc1dc4750e41e3b8	这是一阵耳语。
b2-junior	b9628d4686d51419	这是一名年轻人。
b2-dig	d27b98bd08d9a54a	我可以在这里挖掘。
b2-crop	40b5fc2fdf1bd15c	这是一种农作物。
b2-pace	5296aeccccf0d81f	这是一种步速。
b2-rank	2008f81f589a8f3c	这是一个等级。
b2-enquiry	00c91f268e826bbf	这是一次询问。
b2-reserve	69ddb0ab83c61c0e	这是一份储备。
b2-judgement	fae458e9219b55bb	这是一项判决。
b2-constantly	25bb21e7c23e3437	我经常外出。
b2-detect	ec7bc9b046afeed9	我可以检测到它。
b2-install	e15910ba6d9f6de5	我可以安装它。
b2-infection	6b541b8e552abc43	这是一种感染。
b2-aggressive	651a456985f1f132	它很有攻击性。
b2-guarantee	85fcacde2c35a470	这是一项保证。
b2-delay	d9fd5c9ca1e2a1a7	这是一次延误。
b2-edition	63399624ff7be3aa	这是一个版本。
b2-criticize	c222e577736c013e	我可以提出批评。
b2-defeat	e8ab1c3244810f13	这是一次失败。
b2-split	5c6df0b39453c736	这是一处分裂。
b2-remark	bd2056dd7b882a6a	这是一条评论。
b2-mount	7c98eb6019c5387d	这是一匹坐骑。
b2-found	cbbba6ad80d36503	我可以创办一所学校。
b2-barrier	d42b68e877ef79bb	这是一道障碍。
b2-gang	1ab815d30bc956b3	这是一伙人。
b2-classic	22d3998714b1a8ae	这是一部经典作品。
b2-draft	c15c7f1d071173eb	这是一股穿堂风。
b2-extraordinary	860b2646a071b5e6	这非同寻常。
b2-fortune	adbd8aa3aed35d31	这是一笔财富。
b2-heaven	e6369c451d9a4c15	我了解天堂的概念。
b2-pregnant	9b44e6c934e23b4a	她怀孕了。
b2-anxious	557c0e1bdf16f15b	他很焦虑。
b2-satellite	80ce2564dee8bd79	这是一颗人造卫星。
b2-sweep	ea9dff7cec32f9a6	这是一次清扫。
b2-stable	46bcdea653e495b3	这是一间马厩。
b2-satisfied	b4fa9bd63366d7d0	我感到满意。
b2-pitch	663db3e8c9f387ec	这是一个音高。
b2-bunch	618e0f07993d8a1c	这是一束东西。
b2-distribute	2ee21b310905fecd	我可以把它们分发出去。
b2-measurement	9969d72add924dba	这是一个测量结果。
b2-enthusiasm	b87537b12cb40443	我了解这种热情。
b2-resort	ac2e67994095b70d	这是一处度假胜地。
b2-bet	e68fafed6ccc10e7	这是一个赌注。
b2-encounter	1a0194052647f333	这是一次相遇。
b2-minimum	a81639b512d6827a	这是最低限度。
b2-blind	2105d26b31cb5427	这是一面百叶窗。
b2-slave	07c38762a92abd5b	这是一名奴隶。
b2-accurate	030a33f7ed2e71c0	它很准确。
b2-complicated	e3ce54e5ce2b0b91	它很复杂。
b2-bullet	58097454eb884d56	这是一颗子弹。
b2-proof	5f286b75abb5bb04	这是一项证据。
b2-solar	dcb3488d7d2bf7e7	这是太阳能。
b2-plain	7abbd1b8c047817a	这是一片平原。
b2-tunnel	403ad120ecfceb40	这是一条隧道。
b2-hunting	897c579d41b81706	我喜欢狩猎。
b2-satisfy	85718385875d95d3	我可以使人满意。
b2-raw	3e061634fb9cc9d0	它还是生的。
b2-furthermore	96e53ab77d5ad381	我走了出去。此外，你走了进来。
b2-bush	5236a3e7817614f0	这是一片灌木丛。
b2-deliberately	33487b9be5602b28	我是故意这样做的。
b2-adapt	385e8bd6bbd7a0e0	我可以使它适应新的情况。
b2-joy	0ed184339b5a9334	这是一件令人喜悦的事。
b2-shooting	76945c8d688515ba	我喜欢射击运动。
b2-imagination	2730b2de0187039e	我了解想象力。
b2-crash	005c302313fcb313	这是一声巨响。
b2-outline	36120f99f19a45a6	这是一份大纲。
b2-insight	69ab46bd0b005a78	这是一种洞察。
b2-weakness	ea8f6394f2a184cb	这是一处弱点。
b2-rid	5f50fb3b640a3097	我可以摆脱它。
b2-shelter	7192e5f8d8602445	这是一处庇护所。
b2-steady	031b38300cbd5328	它很稳定。
b2-desperate	6b3be7550fcc1b21	情况令人绝望。
b2-delighted	d4ebd449c0b0beb8	我十分高兴。
b2-psychology	e2837edd6bf68747	我了解心理学。
b2-commonly	8660a852bf25ea46	我通常会外出。
b2-convinced	255a2002f138ab01	我对此深信不疑。
b2-pile	88506b86435758ae	这是一堆东西。
b2-psychologist	0fd511feab8cc7a8	这是一名心理学家。
b2-wealthy	5fc8309d15b959b2	它很富有。
b2-govern	09b12f77698a9b35	我可以治理这个地方。
b2-impress	032bcd7b202eeceb	它能给我留下深刻印象。
b2-heel	22448153f93ad9ec	这是脚后跟。
b2-privacy	a9738250fbdcfcb4	我了解隐私的重要性。
b2-contest	cf56c6254a196e2e	这是一场竞赛。
b2-sympathy	9ce42c4d98283fe5	我对此表示同情。
b2-strict	ccc9719efb30cc19	要求很严格。
b2-collapse	d25b946656b7533f	这是一次崩溃。
b2-outer	0634320a373b00a6	这是外部部分。
b2-organ	a0da9acac64f7df3	这是一架风琴。
b2-flexible	2e4cebf11d2f25df	它很有弹性。
b2-disc	b8f135a73db75c4d	这是一个圆盘。
b2-float	1234cc848ca88f68	这是一个漂浮物。
b2-offensive	6d938c3a3a90a12b	这令人反感。
b2-excuse	32d03f4d666f3de3	我可以原谅这件事。
b2-cancel	0a787b2534c4adb8	这是一次取消。
b2-harm	41c07c775fa7fde0	这是一种伤害。
b2-wherever	e6f521b068433f6d	无论你去哪里，我都跟着去。
b2-mineral	ada35aee05a28bd4	这是一种矿物。
b2-swear	5e08cca26d28f126	我可以发誓。
b2-modify	8e447ae071c5a7ca	我可以修改它。
b2-lung	e839c151bfd87a8e	这是一片肺叶。
b2-artistic	cb752b68dea8967f	这是艺术作品。
b2-hesitate	a2fac62e21b59955	我会犹豫。
b2-courage	ab4a30672a669c3c	我了解勇气的意义。
b2-unexpected	0b3c1620b4705107	这是出乎意料的。
b2-decrease	701a05e834581332	这是一次减少。
b2-anniversary	bc9d418ddba6f25a	这是一次周年纪念。
b2-illustration	43e9ae7b107e417a	这是一幅插图。
b2-interrupt	0761f4bc685845e9	我可以打断他。
b2-delight	99f6c60c10a35af5	这是一件令人高兴的事。
b2-forgive	7744f0dd0851b394	我可以原谅他。
b2-evil	1424ecb05618266b	这是邪恶。
b2-beg	d0069037ffa65291	我求你了。
b2-sponsor	3f4a1abca54e0c9c	这是一名赞助人。
b2-ethical	d02b334c27c519bc	这符合伦理。
b2-melt	7f81c51bf2d22ad4	这是一次熔化过程。
b2-artificial	ef1f583c38ae81de	它是人造的。
b2-flash	172062f7263e1e28	这是一道闪光。
b2-nightmare	192bf0d140111059	这是一个噩梦。
b2-wildlife	dbe9883517f928f3	这是野生动植物。
b2-broadcast	539f7a6735bbd763	这是一段广播。
b2-realistic	0b48d776f3fc5faa	它很写实。
b2-tune	c474b88fce6a1f14	这是一段曲调。
b2-virtual	2e267af1632945d7	它是虚拟的。
b2-decent	8f511920abd37a11	这还算得体。
b2-vitamin	6c445971074df07c	这是一种维生素。
b2-praise	1099ff7f7d1cbac6	这是一句赞美。
b2-associated	8cb0e1fd4f79b6e0	它与此有关。
b2-steep	7058f1de7bf64ab7	这里十分陡峭。
b2-rescue	2e8d6c34159a1a81	这是一次援救行动。
b2-neat	f3271cd636db17c2	这里很整洁。
b2-tropical	8aa2ab8137a45a3a	这里属于热带地区。
b2-exploration	b4d999ab26135dff	这是一次探索活动。
b2-feedback	26bbc82951526f64	这是反馈意见。
b2-edit	ec22f660add19938	我可以编辑它。
b2-surrounding	4bc81cc8b69cf907	这是周边地区。
b2-popularity	a40c70930ad3aea9	我了解它受欢迎的程度。
b2-venue	9d061d4698672933	这是一个活动场地。
b2-impressed	84b06e29e64b0244	我深受触动。
b2-upwards	ecd948937318d5b8	我向上走。
b2-mysterious	a435301d9a974b00	这很神秘。
b2-shallow	be721bb5e44e0ca6	这里很浅。
b2-lively	a61b56cef1032f2d	这里充满活力。
b2-opposed	09b5e907e4339abf	我反对这件事。
b2-depressed	1b10b70513d0fb51	他很沮丧。
b2-shocked	b72618a308b4fbd5	我感到震惊。
b2-enthusiastic	4fb4f810d8404786	我对此充满热情。
b2-genre	198a06613d42e8b7	这是一种类型。
b2-decoration	5a664fd2998ff914	这是一件装饰品。
b2-cure	0f1b58f3ea0ae3f5	这是一种治疗方法。
b2-deliberate	825ac7a75f06bbf7	这是一个经过深思熟虑的行动。
b2-rubber	b3e397380546df38	这是一块橡皮。
b2-obey	fc93fcc9c4b5fe39	我可以服从命令。
b2-unconscious	2403b5dcbac0ff81	我失去了意识。
b2-multiply	98ac7318e42cf82c	我可以进行乘法运算。
b2-offend	0fe36cc73cad1a9c	这可能会冒犯他。
b2-ashamed	e7956ae575487031	我感到惭愧。
b2-harmful	230cf6ecd11f23b9	它是有害的。
b2-confusing	618297c673302cdc	这令人困惑。
b2-matching	893a7f81762cb22b	它们彼此相配。
b2-curved	c009298b2b986c41	它是弯曲的。
b2-depressing	201cde0dca70d508	这令人沮丧。
b2-downwards	73e7bba8664568ad	我向下走。
b2-sincere	6da0a837f30049f3	这是真诚的。
b2-intended	5fef682ecf02b167	这是为你准备的。
b2-impatient	7cccba48d3c758f7	它显得很不耐烦。
b2-pointed	6b30d68afb18f123	它的末端是尖的。
b2-humorous	4fbed780eddbf812	这很幽默。
b2-dishonest	e64f22a72353677b	这很不诚实。
b2-folding	09b7aa018d69fadc	这是一本可折叠的书。
b2-significantly	30cd6256ff8f5c6a	这明显多得多。
